model,model_label,variant,layer,n_layers,normalized_depth,mean_delta_cosine
gemma3_4b,Gemma 3 4B,pt,0,34,0.0,nan
gemma3_4b,Gemma 3 4B,pt,1,34,0.0303,0.118726
gemma3_4b,Gemma 3 4B,pt,2,34,0.0606,0.743084
gemma3_4b,Gemma 3 4B,pt,3,34,0.0909,0.265721
gemma3_4b,Gemma 3 4B,pt,4,34,0.1212,0.823726
gemma3_4b,Gemma 3 4B,pt,5,34,0.1515,0.76586
gemma3_4b,Gemma 3 4B,pt,6,34,0.1818,0.79087
gemma3_4b,Gemma 3 4B,pt,7,34,0.2121,0.909226
gemma3_4b,Gemma 3 4B,pt,8,34,0.2424,0.963605
gemma3_4b,Gemma 3 4B,pt,9,34,0.2727,0.880809
gemma3_4b,Gemma 3 4B,pt,10,34,0.303,0.985441
gemma3_4b,Gemma 3 4B,pt,11,34,0.3333,0.975374
gemma3_4b,Gemma 3 4B,pt,12,34,0.3636,0.912026
gemma3_4b,Gemma 3 4B,pt,13,34,0.3939,0.787283
gemma3_4b,Gemma 3 4B,pt,14,34,0.4242,0.581616
gemma3_4b,Gemma 3 4B,pt,15,34,0.4545,0.742435
gemma3_4b,Gemma 3 4B,pt,16,34,0.4848,0.821359
gemma3_4b,Gemma 3 4B,pt,17,34,0.5152,0.804818
gemma3_4b,Gemma 3 4B,pt,18,34,0.5455,0.734522
gemma3_4b,Gemma 3 4B,pt,19,34,0.5758,0.588859
gemma3_4b,Gemma 3 4B,pt,20,34,0.6061,0.495987
gemma3_4b,Gemma 3 4B,pt,21,34,0.6364,0.65908
gemma3_4b,Gemma 3 4B,pt,22,34,0.6667,0.600155
gemma3_4b,Gemma 3 4B,pt,23,34,0.697,0.031241
gemma3_4b,Gemma 3 4B,pt,24,34,0.7273,0.476179
gemma3_4b,Gemma 3 4B,pt,25,34,0.7576,0.769197
gemma3_4b,Gemma 3 4B,pt,26,34,0.7879,0.760211
gemma3_4b,Gemma 3 4B,pt,27,34,0.8182,0.829312
gemma3_4b,Gemma 3 4B,pt,28,34,0.8485,0.897778
gemma3_4b,Gemma 3 4B,pt,29,34,0.8788,0.63004
gemma3_4b,Gemma 3 4B,pt,30,34,0.9091,0.014655
gemma3_4b,Gemma 3 4B,pt,31,34,0.9394,0.262197
gemma3_4b,Gemma 3 4B,pt,32,34,0.9697,0.501483
gemma3_4b,Gemma 3 4B,pt,33,34,1.0,0.184297
gemma3_4b,Gemma 3 4B,it,0,34,0.0,nan
gemma3_4b,Gemma 3 4B,it,1,34,0.0303,0.029968
gemma3_4b,Gemma 3 4B,it,2,34,0.0606,0.721086
gemma3_4b,Gemma 3 4B,it,3,34,0.0909,0.196352
gemma3_4b,Gemma 3 4B,it,4,34,0.1212,0.805991
gemma3_4b,Gemma 3 4B,it,5,34,0.1515,0.750354
gemma3_4b,Gemma 3 4B,it,6,34,0.1818,0.812036
gemma3_4b,Gemma 3 4B,it,7,34,0.2121,0.886738
gemma3_4b,Gemma 3 4B,it,8,34,0.2424,0.968383
gemma3_4b,Gemma 3 4B,it,9,34,0.2727,0.887145
gemma3_4b,Gemma 3 4B,it,10,34,0.303,0.987799
gemma3_4b,Gemma 3 4B,it,11,34,0.3333,0.98469
