model,model_label,layer,n_layers,normalized_depth,delta_attn_raw,delta_mlp_raw,delta_attn_norm,delta_mlp_norm,phase_boundary_layer,corrective_onset_layer
gemma3_4b,Gemma 3 4B,0,34,0.0,0.005692,0.003098,0.794725,0.777905,11,20
gemma3_4b,Gemma 3 4B,1,34,0.0303,0.007486,0.003088,1.045151,0.775575,11,20
gemma3_4b,Gemma 3 4B,2,34,0.0606,0.005189,0.002752,0.724386,0.691089,11,20
gemma3_4b,Gemma 3 4B,3,34,0.0909,0.008321,0.003273,1.161717,0.821974,11,20
gemma3_4b,Gemma 3 4B,4,34,0.1212,0.004651,0.003087,0.649302,0.775224,11,20
gemma3_4b,Gemma 3 4B,5,34,0.1515,0.008269,0.00307,1.15445,0.770963,11,20
gemma3_4b,Gemma 3 4B,6,34,0.1818,0.005387,0.004079,0.752092,1.024391,11,20
gemma3_4b,Gemma 3 4B,7,34,0.2121,0.008865,0.003501,1.237736,0.879201,11,20
gemma3_4b,Gemma 3 4B,8,34,0.2424,0.004653,0.003742,0.649659,0.939681,11,20
gemma3_4b,Gemma 3 4B,9,34,0.2727,0.007607,0.003914,1.06206,0.982936,11,20
gemma3_4b,Gemma 3 4B,10,34,0.303,0.007955,0.00399,1.110574,1.002051,11,20
gemma3_4b,Gemma 3 4B,11,34,0.3333,0.008965,0.004066,1.251698,1.021106,11,20
gemma3_4b,Gemma 3 4B,12,34,0.3636,0.005587,0.004707,0.780045,1.182086,11,20
gemma3_4b,Gemma 3 4B,13,34,0.3939,0.006921,0.004056,0.966296,1.018535,11,20
gemma3_4b,Gemma 3 4B,14,34,0.4242,0.005118,0.004354,0.714505,1.093295,11,20
gemma3_4b,Gemma 3 4B,15,34,0.4545,0.005233,0.004415,0.730662,1.108647,11,20
gemma3_4b,Gemma 3 4B,16,34,0.4848,0.007226,0.005131,1.008806,1.288548,11,20
gemma3_4b,Gemma 3 4B,17,34,0.5152,0.00707,0.00443,0.987019,1.112446,11,20
gemma3_4b,Gemma 3 4B,18,34,0.5455,0.005893,0.00422,0.82275,1.059736,11,20
gemma3_4b,Gemma 3 4B,19,34,0.5758,0.004635,0.004241,0.647175,1.06487,11,20
gemma3_4b,Gemma 3 4B,20,34,0.6061,0.005417,0.004008,0.756333,1.006369,11,20
gemma3_4b,Gemma 3 4B,21,34,0.6364,0.006167,0.004011,0.861036,1.007222,11,20
gemma3_4b,Gemma 3 4B,22,34,0.6667,0.005297,0.003948,0.739529,0.991538,11,20
gemma3_4b,Gemma 3 4B,23,34,0.697,0.007752,0.003849,1.082223,0.966435,11,20
gemma3_4b,Gemma 3 4B,24,34,0.7273,0.007961,0.004077,1.111504,1.023749,11,20
gemma3_4b,Gemma 3 4B,25,34,0.7576,0.008911,0.003805,1.244035,0.955512,11,20
gemma3_4b,Gemma 3 4B,26,34,0.7879,0.010901,0.003944,1.521873,0.990306,11,20
gemma3_4b,Gemma 3 4B,27,34,0.8182,0.006352,0.004483,0.886768,1.125782,11,20
gemma3_4b,Gemma 3 4B,28,34,0.8485,0.005993,0.004093,0.836749,1.027816,11,20
gemma3_4b,Gemma 3 4B,29,34,0.8788,0.006198,0.004257,0.86535,1.069034,11,20
gemma3_4b,Gemma 3 4B,30,34,0.9091,0.006908,0.004554,0.964455,1.143714,11,20
gemma3_4b,Gemma 3 4B,31,34,0.9394,0.009676,0.004464,1.350851,1.12099,11,20
gemma3_4b,Gemma 3 4B,32,34,0.9697,0.011753,0.004517,1.640837,1.134308,11,20
gemma3_4b,Gemma 3 4B,33,34,1.0,0.013521,0.004169,1.887647,1.046969,11,20
llama31_8b,Llama 3.1 8B,0,32,0.0,0.00043,0.0005,0.733159,0.787568,11,19
llama31_8b,Llama 3.1 8B,1,32,0.0323,0.000444,0.000509,0.756767,0.802208,11,19
llama31_8b,Llama 3.1 8B,2,32,0.0645,0.000483,0.000526,0.822932,0.829662,11,19
llama31_8b,Llama 3.1 8B,3,32,0.0968,0.000492,0.000538,0.839021,0.848296,11,19
llama31_8b,Llama 3.1 8B,4,32,0.129,0.000496,0.000547,0.845012,0.861433,11,19
llama31_8b,Llama 3.1 8B,5,32,0.1613,0.000517,0.000559,0.881094,0.881202,11,19
llama31_8b,Llama 3.1 8B,6,32,0.1935,0.000526,0.000571,0.897028,0.899728,11,19
llama31_8b,Llama 3.1 8B,7,32,0.2258,0.000518,0.000584,0.883479,0.919696,11,19
llama31_8b,Llama 3.1 8B,8,32,0.2581,0.000531,0.000594,0.904824,0.935723,11,19
llama31_8b,Llama 3.1 8B,9,32,0.2903,0.000555,0.000604,0.94645,0.952025,11,19
llama31_8b,Llama 3.1 8B,10,32,0.3226,0.000555,0.000615,0.94642,0.96907,11,19
llama31_8b,Llama 3.1 8B,11,32,0.3548,0.000561,0.000626,0.956833,0.987264,11,19
llama31_8b,Llama 3.1 8B,12,32,0.3871,0.000556,0.000632,0.947453,0.99617,11,19
llama31_8b,Llama 3.1 8B,13,32,0.4194,0.000581,0.000644,0.990881,1.014495,11,19
llama31_8b,Llama 3.1 8B,14,32,0.4516,0.000568,0.000653,0.96883,1.028757,11,19
llama31_8b,Llama 3.1 8B,15,32,0.4839,0.000611,0.000661,1.042352,1.041552,11,19
llama31_8b,Llama 3.1 8B,16,32,0.5161,0.000603,0.000673,1.028189,1.061278,11,19
llama31_8b,Llama 3.1 8B,17,32,0.5484,0.000634,0.000678,1.08049,1.067863,11,19
llama31_8b,Llama 3.1 8B,18,32,0.5806,0.00064,0.000686,1.091518,1.080541,11,19
llama31_8b,Llama 3.1 8B,19,32,0.6129,0.000654,0.00069,1.115956,1.087367,11,19
llama31_8b,Llama 3.1 8B,20,32,0.6452,0.000667,0.00069,1.137669,1.087557,11,19
llama31_8b,Llama 3.1 8B,21,32,0.6774,0.000653,0.000683,1.112871,1.075884,11,19
llama31_8b,Llama 3.1 8B,22,32,0.7097,0.000661,0.000685,1.126828,1.079973,11,19
llama31_8b,Llama 3.1 8B,23,32,0.7419,0.000661,0.00069,1.126405,1.088077,11,19
llama31_8b,Llama 3.1 8B,24,32,0.7742,0.000646,0.000694,1.102335,1.093012,11,19
llama31_8b,Llama 3.1 8B,25,32,0.8065,0.000641,0.000696,1.092521,1.096654,11,19
llama31_8b,Llama 3.1 8B,26,32,0.8387,0.000648,0.000696,1.104098,1.097201,11,19
llama31_8b,Llama 3.1 8B,27,32,0.871,0.000655,0.000695,1.116143,1.095758,11,19
llama31_8b,Llama 3.1 8B,28,32,0.9032,0.000657,0.000698,1.120946,1.0998,11,19
llama31_8b,Llama 3.1 8B,29,32,0.9355,0.00062,0.000696,1.057543,1.096722,11,19
llama31_8b,Llama 3.1 8B,30,32,0.9677,0.000669,0.000674,1.14075,1.061653,11,19
llama31_8b,Llama 3.1 8B,31,32,1.0,0.000635,0.000619,1.083205,0.975813,11,19
qwen3_4b,Qwen 3 4B,0,36,0.0,0.001719,0.001811,0.743529,0.756881,12,22
qwen3_4b,Qwen 3 4B,1,36,0.0286,0.001722,0.001305,0.744992,0.54559,12,22
qwen3_4b,Qwen 3 4B,2,36,0.0571,0.001806,0.00126,0.781305,0.526584,12,22
qwen3_4b,Qwen 3 4B,3,36,0.0857,0.001777,0.00159,0.768658,0.664643,12,22
qwen3_4b,Qwen 3 4B,4,36,0.1143,0.001877,0.001862,0.811839,0.778268,12,22
qwen3_4b,Qwen 3 4B,5,36,0.1429,0.001826,0.001923,0.789838,0.803818,12,22
qwen3_4b,Qwen 3 4B,6,36,0.1714,0.001902,0.002006,0.822675,0.838338,12,22
qwen3_4b,Qwen 3 4B,7,36,0.2,0.001933,0.002059,0.836021,0.860793,12,22
qwen3_4b,Qwen 3 4B,8,36,0.2286,0.00201,0.002156,0.869618,0.90121,12,22
qwen3_4b,Qwen 3 4B,9,36,0.2571,0.002125,0.002162,0.919362,0.903536,12,22
qwen3_4b,Qwen 3 4B,10,36,0.2857,0.002061,0.002205,0.891653,0.921716,12,22
qwen3_4b,Qwen 3 4B,11,36,0.3143,0.002187,0.002292,0.945938,0.958018,12,22
qwen3_4b,Qwen 3 4B,12,36,0.3429,0.002222,0.002373,0.960982,0.99174,12,22
qwen3_4b,Qwen 3 4B,13,36,0.3714,0.002304,0.002472,0.996629,1.033185,12,22
qwen3_4b,Qwen 3 4B,14,36,0.4,0.002293,0.002522,0.991897,1.054127,12,22
qwen3_4b,Qwen 3 4B,15,36,0.4286,0.002293,0.002596,0.991926,1.085071,12,22
qwen3_4b,Qwen 3 4B,16,36,0.4571,0.002452,0.002608,1.060536,1.090281,12,22
qwen3_4b,Qwen 3 4B,17,36,0.4857,0.00238,0.002645,1.029622,1.105641,12,22
qwen3_4b,Qwen 3 4B,18,36,0.5143,0.002419,0.002731,1.046465,1.141698,12,22
qwen3_4b,Qwen 3 4B,19,36,0.5429,0.002433,0.002759,1.052245,1.15303,12,22
qwen3_4b,Qwen 3 4B,20,36,0.5714,0.00257,0.002779,1.111568,1.161436,12,22
qwen3_4b,Qwen 3 4B,21,36,0.6,0.002483,0.002761,1.073858,1.15392,12,22
qwen3_4b,Qwen 3 4B,22,36,0.6286,0.00246,0.002714,1.064,1.134383,12,22
qwen3_4b,Qwen 3 4B,23,36,0.6571,0.002537,0.002715,1.097298,1.135013,12,22
qwen3_4b,Qwen 3 4B,24,36,0.6857,0.002607,0.00269,1.127565,1.124254,12,22
qwen3_4b,Qwen 3 4B,25,36,0.7143,0.002566,0.00269,1.110022,1.12451,12,22
qwen3_4b,Qwen 3 4B,26,36,0.7429,0.002783,0.002695,1.20372,1.126585,12,22
qwen3_4b,Qwen 3 4B,27,36,0.7714,0.002696,0.002685,1.166189,1.122177,12,22
qwen3_4b,Qwen 3 4B,28,36,0.8,0.002651,0.002705,1.14686,1.13061,12,22
qwen3_4b,Qwen 3 4B,29,36,0.8286,0.002752,0.00266,1.190403,1.112006,12,22
qwen3_4b,Qwen 3 4B,30,36,0.8571,0.002646,0.002667,1.144447,1.114715,12,22
qwen3_4b,Qwen 3 4B,31,36,0.8857,0.0026,0.002677,1.124837,1.118989,12,22
qwen3_4b,Qwen 3 4B,32,36,0.9143,0.002589,0.002722,1.1197,1.137728,12,22
qwen3_4b,Qwen 3 4B,33,36,0.9429,0.002642,0.00271,1.142643,1.132558,12,22
qwen3_4b,Qwen 3 4B,34,36,0.9714,0.002556,0.002564,1.105651,1.071893,12,22
qwen3_4b,Qwen 3 4B,35,36,1.0,0.002348,0.002357,1.015509,0.985055,12,22
mistral_7b,Mistral 7B v0.3,0,32,0.0,4.6e-05,6.1e-05,0.711542,0.934669,11,19
mistral_7b,Mistral 7B v0.3,1,32,0.0323,5.3e-05,6.2e-05,0.828931,0.9376,11,19
mistral_7b,Mistral 7B v0.3,2,32,0.0645,6e-05,6.2e-05,0.938128,0.950211,11,19
mistral_7b,Mistral 7B v0.3,3,32,0.0968,6e-05,6.3e-05,0.93886,0.955871,11,19
mistral_7b,Mistral 7B v0.3,4,32,0.129,6e-05,6.3e-05,0.939674,0.964437,11,19
mistral_7b,Mistral 7B v0.3,5,32,0.1613,6.2e-05,6.4e-05,0.968626,0.977549,11,19
mistral_7b,Mistral 7B v0.3,6,32,0.1935,6.2e-05,6.5e-05,0.96579,0.985263,11,19
mistral_7b,Mistral 7B v0.3,7,32,0.2258,6.2e-05,6.5e-05,0.972828,0.993761,11,19
mistral_7b,Mistral 7B v0.3,8,32,0.2581,6.3e-05,6.6e-05,0.980487,1.00164,11,19
mistral_7b,Mistral 7B v0.3,9,32,0.2903,6.3e-05,6.6e-05,0.985242,1.00857,11,19
mistral_7b,Mistral 7B v0.3,10,32,0.3226,6.3e-05,6.6e-05,0.985351,1.00678,11,19
mistral_7b,Mistral 7B v0.3,11,32,0.3548,6.5e-05,6.7e-05,1.009484,1.013342,11,19
mistral_7b,Mistral 7B v0.3,12,32,0.3871,6.3e-05,6.7e-05,0.982769,1.019043,11,19
mistral_7b,Mistral 7B v0.3,13,32,0.4194,6.4e-05,6.7e-05,0.996488,1.025206,11,19
mistral_7b,Mistral 7B v0.3,14,32,0.4516,6.5e-05,6.8e-05,1.016804,1.035421,11,19
mistral_7b,Mistral 7B v0.3,15,32,0.4839,6.5e-05,6.8e-05,1.01942,1.03893,11,19
mistral_7b,Mistral 7B v0.3,16,32,0.5161,6.6e-05,6.8e-05,1.034797,1.042254,11,19
mistral_7b,Mistral 7B v0.3,17,32,0.5484,6.6e-05,6.9e-05,1.029981,1.044646,11,19
mistral_7b,Mistral 7B v0.3,18,32,0.5806,6.7e-05,6.8e-05,1.041522,1.036921,11,19
mistral_7b,Mistral 7B v0.3,19,32,0.6129,6.7e-05,6.7e-05,1.037344,1.027132,11,19
