model,model_label,variant,layer,n_layers,normalized_depth,intrinsic_dim,ci_low,ci_high
gemma3_4b,Gemma 3 4B,pt,0,34,0.0,13.2619,nan,nan
gemma3_4b,Gemma 3 4B,pt,1,34,0.0303,15.821,nan,nan
gemma3_4b,Gemma 3 4B,pt,2,34,0.0606,13.755,nan,nan
gemma3_4b,Gemma 3 4B,pt,3,34,0.0909,13.8823,nan,nan
gemma3_4b,Gemma 3 4B,pt,4,34,0.1212,11.3018,nan,nan
gemma3_4b,Gemma 3 4B,pt,5,34,0.1515,11.2721,nan,nan
gemma3_4b,Gemma 3 4B,pt,6,34,0.1818,11.4379,nan,nan
gemma3_4b,Gemma 3 4B,pt,7,34,0.2121,11.7537,nan,nan
gemma3_4b,Gemma 3 4B,pt,8,34,0.2424,11.1928,nan,nan
gemma3_4b,Gemma 3 4B,pt,9,34,0.2727,10.8311,nan,nan
gemma3_4b,Gemma 3 4B,pt,10,34,0.303,11.2748,nan,nan
gemma3_4b,Gemma 3 4B,pt,11,34,0.3333,10.7941,nan,nan
gemma3_4b,Gemma 3 4B,pt,12,34,0.3636,11.2931,nan,nan
gemma3_4b,Gemma 3 4B,pt,13,34,0.3939,11.4234,nan,nan
gemma3_4b,Gemma 3 4B,pt,14,34,0.4242,11.5746,nan,nan
gemma3_4b,Gemma 3 4B,pt,15,34,0.4545,12.2759,nan,nan
gemma3_4b,Gemma 3 4B,pt,16,34,0.4848,12.053,nan,nan
gemma3_4b,Gemma 3 4B,pt,17,34,0.5152,12.2234,nan,nan
gemma3_4b,Gemma 3 4B,pt,18,34,0.5455,12.2682,nan,nan
gemma3_4b,Gemma 3 4B,pt,19,34,0.5758,11.6456,nan,nan
gemma3_4b,Gemma 3 4B,pt,20,34,0.6061,11.5684,nan,nan
gemma3_4b,Gemma 3 4B,pt,21,34,0.6364,12.6249,nan,nan
gemma3_4b,Gemma 3 4B,pt,22,34,0.6667,13.0893,nan,nan
gemma3_4b,Gemma 3 4B,pt,23,34,0.697,13.5715,nan,nan
gemma3_4b,Gemma 3 4B,pt,24,34,0.7273,13.9548,nan,nan
gemma3_4b,Gemma 3 4B,pt,25,34,0.7576,13.744,nan,nan
gemma3_4b,Gemma 3 4B,pt,26,34,0.7879,14.9898,nan,nan
gemma3_4b,Gemma 3 4B,pt,27,34,0.8182,14.8876,nan,nan
gemma3_4b,Gemma 3 4B,pt,28,34,0.8485,15.2576,nan,nan
gemma3_4b,Gemma 3 4B,pt,29,34,0.8788,17.0042,nan,nan
gemma3_4b,Gemma 3 4B,pt,30,34,0.9091,17.7503,nan,nan
gemma3_4b,Gemma 3 4B,pt,31,34,0.9394,17.7085,nan,nan
gemma3_4b,Gemma 3 4B,pt,32,34,0.9697,17.8224,nan,nan
gemma3_4b,Gemma 3 4B,pt,33,34,1.0,17.8713,nan,nan
gemma3_4b,Gemma 3 4B,it,0,34,0.0,13.4651,nan,nan
gemma3_4b,Gemma 3 4B,it,1,34,0.0303,15.5273,nan,nan
gemma3_4b,Gemma 3 4B,it,2,34,0.0606,13.7094,nan,nan
gemma3_4b,Gemma 3 4B,it,3,34,0.0909,13.2554,nan,nan
gemma3_4b,Gemma 3 4B,it,4,34,0.1212,11.429,nan,nan
gemma3_4b,Gemma 3 4B,it,5,34,0.1515,10.9394,nan,nan
gemma3_4b,Gemma 3 4B,it,6,34,0.1818,12.0006,nan,nan
gemma3_4b,Gemma 3 4B,it,7,34,0.2121,11.3298,nan,nan
gemma3_4b,Gemma 3 4B,it,8,34,0.2424,11.4206,nan,nan
gemma3_4b,Gemma 3 4B,it,9,34,0.2727,11.2117,nan,nan
gemma3_4b,Gemma 3 4B,it,10,34,0.303,11.4139,nan,nan
gemma3_4b,Gemma 3 4B,it,11,34,0.3333,11.1123,nan,nan
gemma3_4b,Gemma 3 4B,it,12,34,0.3636,11.3752,nan,nan
gemma3_4b,Gemma 3 4B,it,13,34,0.3939,11.9347,nan,nan
gemma3_4b,Gemma 3 4B,it,14,34,0.4242,12.2516,nan,nan
gemma3_4b,Gemma 3 4B,it,15,34,0.4545,13.1717,nan,nan
gemma3_4b,Gemma 3 4B,it,16,34,0.4848,12.6539,nan,nan
gemma3_4b,Gemma 3 4B,it,17,34,0.5152,12.8642,nan,nan
gemma3_4b,Gemma 3 4B,it,18,34,0.5455,12.991,nan,nan
gemma3_4b,Gemma 3 4B,it,19,34,0.5758,12.6096,nan,nan
gemma3_4b,Gemma 3 4B,it,20,34,0.6061,13.1207,nan,nan
gemma3_4b,Gemma 3 4B,it,21,34,0.6364,13.617,nan,nan
gemma3_4b,Gemma 3 4B,it,22,34,0.6667,13.7324,nan,nan
gemma3_4b,Gemma 3 4B,it,23,34,0.697,14.0645,nan,nan
gemma3_4b,Gemma 3 4B,it,24,34,0.7273,14.5086,nan,nan
gemma3_4b,Gemma 3 4B,it,25,34,0.7576,14.7707,nan,nan
gemma3_4b,Gemma 3 4B,it,26,34,0.7879,15.5511,nan,nan
gemma3_4b,Gemma 3 4B,it,27,34,0.8182,15.5908,nan,nan
gemma3_4b,Gemma 3 4B,it,28,34,0.8485,15.8259,nan,nan
gemma3_4b,Gemma 3 4B,it,29,34,0.8788,16.9802,nan,nan
gemma3_4b,Gemma 3 4B,it,30,34,0.9091,17.9729,nan,nan
gemma3_4b,Gemma 3 4B,it,31,34,0.9394,18.9025,nan,nan
gemma3_4b,Gemma 3 4B,it,32,34,0.9697,19.2683,nan,nan
gemma3_4b,Gemma 3 4B,it,33,34,1.0,19.1852,nan,nan
llama31_8b,Llama 3.1 8B,pt,0,32,0.0,14.0926,nan,nan
llama31_8b,Llama 3.1 8B,pt,1,32,0.0323,15.3129,nan,nan
llama31_8b,Llama 3.1 8B,pt,2,32,0.0645,14.509,nan,nan
llama31_8b,Llama 3.1 8B,pt,3,32,0.0968,14.1604,nan,nan
llama31_8b,Llama 3.1 8B,pt,4,32,0.129,15.0703,nan,nan
llama31_8b,Llama 3.1 8B,pt,5,32,0.1613,14.8908,nan,nan
llama31_8b,Llama 3.1 8B,pt,6,32,0.1935,14.6937,nan,nan
llama31_8b,Llama 3.1 8B,pt,7,32,0.2258,14.2802,nan,nan
llama31_8b,Llama 3.1 8B,pt,8,32,0.2581,14.2381,nan,nan
llama31_8b,Llama 3.1 8B,pt,9,32,0.2903,14.3181,nan,nan
llama31_8b,Llama 3.1 8B,pt,10,32,0.3226,14.5711,nan,nan
llama31_8b,Llama 3.1 8B,pt,11,32,0.3548,14.9863,nan,nan
llama31_8b,Llama 3.1 8B,pt,12,32,0.3871,15.7851,nan,nan
llama31_8b,Llama 3.1 8B,pt,13,32,0.4194,16.2376,nan,nan
llama31_8b,Llama 3.1 8B,pt,14,32,0.4516,16.3505,nan,nan
llama31_8b,Llama 3.1 8B,pt,15,32,0.4839,15.8448,nan,nan
llama31_8b,Llama 3.1 8B,pt,16,32,0.5161,15.8254,nan,nan
llama31_8b,Llama 3.1 8B,pt,17,32,0.5484,15.0652,nan,nan
llama31_8b,Llama 3.1 8B,pt,18,32,0.5806,15.0331,nan,nan
llama31_8b,Llama 3.1 8B,pt,19,32,0.6129,15.1852,nan,nan
llama31_8b,Llama 3.1 8B,pt,20,32,0.6452,15.2936,nan,nan
llama31_8b,Llama 3.1 8B,pt,21,32,0.6774,15.1473,nan,nan
llama31_8b,Llama 3.1 8B,pt,22,32,0.7097,15.4949,nan,nan
llama31_8b,Llama 3.1 8B,pt,23,32,0.7419,15.5584,nan,nan
llama31_8b,Llama 3.1 8B,pt,24,32,0.7742,16.0936,nan,nan
llama31_8b,Llama 3.1 8B,pt,25,32,0.8065,16.6168,nan,nan
llama31_8b,Llama 3.1 8B,pt,26,32,0.8387,16.9648,nan,nan
llama31_8b,Llama 3.1 8B,pt,27,32,0.871,17.2882,nan,nan
llama31_8b,Llama 3.1 8B,pt,28,32,0.9032,17.5283,nan,nan
llama31_8b,Llama 3.1 8B,pt,29,32,0.9355,17.3612,nan,nan
llama31_8b,Llama 3.1 8B,pt,30,32,0.9677,17.6454,nan,nan
llama31_8b,Llama 3.1 8B,pt,31,32,1.0,16.3584,nan,nan
llama31_8b,Llama 3.1 8B,it,0,32,0.0,14.372,nan,nan
llama31_8b,Llama 3.1 8B,it,1,32,0.0323,14.8143,nan,nan
llama31_8b,Llama 3.1 8B,it,2,32,0.0645,13.5167,nan,nan
llama31_8b,Llama 3.1 8B,it,3,32,0.0968,13.7574,nan,nan
llama31_8b,Llama 3.1 8B,it,4,32,0.129,14.884,nan,nan
llama31_8b,Llama 3.1 8B,it,5,32,0.1613,14.8451,nan,nan
llama31_8b,Llama 3.1 8B,it,6,32,0.1935,14.4466,nan,nan
llama31_8b,Llama 3.1 8B,it,7,32,0.2258,14.5773,nan,nan
llama31_8b,Llama 3.1 8B,it,8,32,0.2581,14.4785,nan,nan
llama31_8b,Llama 3.1 8B,it,9,32,0.2903,14.4789,nan,nan
llama31_8b,Llama 3.1 8B,it,10,32,0.3226,14.7352,nan,nan
llama31_8b,Llama 3.1 8B,it,11,32,0.3548,15.078,nan,nan
llama31_8b,Llama 3.1 8B,it,12,32,0.3871,15.5159,nan,nan
llama31_8b,Llama 3.1 8B,it,13,32,0.4194,15.2322,nan,nan
llama31_8b,Llama 3.1 8B,it,14,32,0.4516,15.1388,nan,nan
llama31_8b,Llama 3.1 8B,it,15,32,0.4839,14.558,nan,nan
llama31_8b,Llama 3.1 8B,it,16,32,0.5161,14.1969,nan,nan
llama31_8b,Llama 3.1 8B,it,17,32,0.5484,14.2576,nan,nan
llama31_8b,Llama 3.1 8B,it,18,32,0.5806,14.0335,nan,nan
llama31_8b,Llama 3.1 8B,it,19,32,0.6129,14.0877,nan,nan
llama31_8b,Llama 3.1 8B,it,20,32,0.6452,14.1337,nan,nan
llama31_8b,Llama 3.1 8B,it,21,32,0.6774,14.3139,nan,nan
llama31_8b,Llama 3.1 8B,it,22,32,0.7097,14.5683,nan,nan
llama31_8b,Llama 3.1 8B,it,23,32,0.7419,14.7278,nan,nan
llama31_8b,Llama 3.1 8B,it,24,32,0.7742,15.4025,nan,nan
llama31_8b,Llama 3.1 8B,it,25,32,0.8065,15.931,nan,nan
llama31_8b,Llama 3.1 8B,it,26,32,0.8387,16.5731,nan,nan
llama31_8b,Llama 3.1 8B,it,27,32,0.871,17.2251,nan,nan
llama31_8b,Llama 3.1 8B,it,28,32,0.9032,17.9549,nan,nan
llama31_8b,Llama 3.1 8B,it,29,32,0.9355,18.0678,nan,nan
llama31_8b,Llama 3.1 8B,it,30,32,0.9677,18.5809,nan,nan
