model,model_label,layer,n_layers,normalized_depth,pt_mean_entropy_nats,it_mean_entropy_nats,it_minus_pt_entropy,pt_sem,it_sem
gemma3_4b,Gemma 3 4B,0,34,0.0,1.852705,1.825646,-0.027059,0.011541,0.012216
gemma3_4b,Gemma 3 4B,1,34,0.0303,1.528589,1.589289,0.060699,0.009624,0.009913
gemma3_4b,Gemma 3 4B,2,34,0.0606,1.43238,1.511189,0.078809,0.007305,0.00783
gemma3_4b,Gemma 3 4B,3,34,0.0909,1.307745,1.371007,0.063262,0.00642,0.006977
gemma3_4b,Gemma 3 4B,4,34,0.1212,1.938204,1.961836,0.023632,0.007092,0.00839
gemma3_4b,Gemma 3 4B,5,34,0.1515,1.230469,1.382803,0.152334,0.00609,0.006843
gemma3_4b,Gemma 3 4B,6,34,0.1818,1.991891,2.14039,0.148499,0.009018,0.008672
gemma3_4b,Gemma 3 4B,7,34,0.2121,1.671291,1.65206,-0.019231,0.006146,0.005966
gemma3_4b,Gemma 3 4B,8,34,0.2424,2.099245,2.124124,0.024879,0.00649,0.006054
gemma3_4b,Gemma 3 4B,9,34,0.2727,2.076296,2.162989,0.086693,0.00794,0.007393
gemma3_4b,Gemma 3 4B,10,34,0.303,2.13092,2.082275,-0.048644,0.007042,0.007167
gemma3_4b,Gemma 3 4B,11,34,0.3333,1.774086,1.623474,-0.150611,0.007809,0.007599
gemma3_4b,Gemma 3 4B,12,34,0.3636,2.325678,2.271458,-0.05422,0.007723,0.007623
gemma3_4b,Gemma 3 4B,13,34,0.3939,1.979204,1.893425,-0.085779,0.007517,0.007616
gemma3_4b,Gemma 3 4B,14,34,0.4242,2.196064,2.048024,-0.14804,0.007174,0.00747
gemma3_4b,Gemma 3 4B,15,34,0.4545,2.162547,2.038191,-0.124356,0.010871,0.009621
gemma3_4b,Gemma 3 4B,16,34,0.4848,2.183788,2.141619,-0.04217,0.008779,0.008461
gemma3_4b,Gemma 3 4B,17,34,0.5152,2.056268,1.857897,-0.198371,0.011825,0.010406
gemma3_4b,Gemma 3 4B,18,34,0.5455,1.832036,1.820152,-0.011884,0.0064,0.006698
gemma3_4b,Gemma 3 4B,19,34,0.5758,1.932146,1.912862,-0.019284,0.009724,0.008877
gemma3_4b,Gemma 3 4B,20,34,0.6061,1.799078,1.711834,-0.087244,0.008319,0.007876
gemma3_4b,Gemma 3 4B,21,34,0.6364,1.437213,1.399177,-0.038036,0.010327,0.009669
gemma3_4b,Gemma 3 4B,22,34,0.6667,1.896419,1.838624,-0.057795,0.008323,0.007809
gemma3_4b,Gemma 3 4B,23,34,0.697,1.477549,1.521194,0.043645,0.012114,0.011545
gemma3_4b,Gemma 3 4B,24,34,0.7273,1.471547,1.397784,-0.073763,0.010786,0.009486
gemma3_4b,Gemma 3 4B,25,34,0.7576,1.317705,1.150335,-0.16737,0.008642,0.007028
gemma3_4b,Gemma 3 4B,26,34,0.7879,1.400208,1.220701,-0.179507,0.012228,0.009867
gemma3_4b,Gemma 3 4B,27,34,0.8182,1.247847,1.12726,-0.120587,0.00815,0.007457
gemma3_4b,Gemma 3 4B,28,34,0.8485,0.944096,0.956133,0.012037,0.007121,0.007644
gemma3_4b,Gemma 3 4B,29,34,0.8788,0.848957,0.881175,0.032218,0.011033,0.008815
gemma3_4b,Gemma 3 4B,30,34,0.9091,1.818169,1.664977,-0.153192,0.014583,0.014363
gemma3_4b,Gemma 3 4B,31,34,0.9394,1.387637,1.504194,0.116558,0.006848,0.007464
gemma3_4b,Gemma 3 4B,32,34,0.9697,1.181103,1.035735,-0.145368,0.007931,0.006855
gemma3_4b,Gemma 3 4B,33,34,1.0,1.445485,1.58775,0.142265,0.0068,0.006844
