mode,pool,side,category,count,fraction,first_diff_present,first_diff_mean_step
native,dense5,pt,CONTENT,712,0.23733333333333334,3000,0.30366666666666664
native,dense5,pt,FORMAT,1933,0.6443333333333333,3000,0.30366666666666664
native,dense5,pt,FUNCTION_OTHER,355,0.11833333333333333,3000,0.30366666666666664
native,dense5,it,CONTENT,992,0.33066666666666666,3000,0.30366666666666664
native,dense5,it,FORMAT,335,0.11166666666666666,3000,0.30366666666666664
native,dense5,it,FUNCTION_OTHER,1673,0.5576666666666666,3000,0.30366666666666664
native,all6,pt,CONTENT,867,0.24083333333333334,3600,0.5463888888888889
native,all6,pt,FORMAT,2339,0.6497222222222222,3600,0.5463888888888889
native,all6,pt,FUNCTION_OTHER,394,0.10944444444444444,3600,0.5463888888888889
native,all6,it,CONTENT,1193,0.3313888888888889,3600,0.5463888888888889
native,all6,it,FORMAT,475,0.13194444444444445,3600,0.5463888888888889
native,all6,it,FUNCTION_OTHER,1932,0.5366666666666666,3600,0.5463888888888889
native,deepseek_only,pt,CONTENT,155,0.25833333333333336,600,1.76
native,deepseek_only,pt,FORMAT,406,0.6766666666666666,600,1.76
native,deepseek_only,pt,FUNCTION_OTHER,39,0.065,600,1.76
native,deepseek_only,it,CONTENT,201,0.335,600,1.76
native,deepseek_only,it,FORMAT,140,0.23333333333333334,600,1.76
native,deepseek_only,it,FUNCTION_OTHER,259,0.43166666666666664,600,1.76
raw_shared,dense5,pt,CONTENT,1339,0.4488769694937982,2983,1.608112638283607
raw_shared,dense5,pt,FORMAT,1171,0.3925578276902447,2983,1.608112638283607
raw_shared,dense5,pt,FUNCTION_OTHER,473,0.1585652028159571,2983,1.608112638283607
raw_shared,dense5,it,CONTENT,1227,0.4113308749580959,2983,1.608112638283607
raw_shared,dense5,it,FORMAT,1244,0.4170298357358364,2983,1.608112638283607
raw_shared,dense5,it,FUNCTION_OTHER,512,0.17163928930606773,2983,1.608112638283607
raw_shared,all6,pt,CONTENT,1551,0.43287747697460227,3583,1.6692715601451298
raw_shared,all6,pt,FORMAT,1471,0.4105498185877756,3583,1.6692715601451298
raw_shared,all6,pt,FUNCTION_OTHER,561,0.1565727044376221,3583,1.6692715601451298
raw_shared,all6,it,CONTENT,1539,0.42952832821657827,3583,1.6692715601451298
raw_shared,all6,it,FORMAT,1429,0.3988277979346916,3583,1.6692715601451298
raw_shared,all6,it,FUNCTION_OTHER,615,0.17164387384873012,3583,1.6692715601451298
raw_shared,deepseek_only,pt,CONTENT,212,0.35333333333333333,600,1.9733333333333334
raw_shared,deepseek_only,pt,FORMAT,300,0.5,600,1.9733333333333334
raw_shared,deepseek_only,pt,FUNCTION_OTHER,88,0.14666666666666667,600,1.9733333333333334
raw_shared,deepseek_only,it,CONTENT,312,0.52,600,1.9733333333333334
raw_shared,deepseek_only,it,FORMAT,185,0.30833333333333335,600,1.9733333333333334
raw_shared,deepseek_only,it,FUNCTION_OTHER,103,0.17166666666666666,600,1.9733333333333334
