mode,model,condition,pt_token_fraction,it_token_fraction,pt_winner_fraction,it_winner_fraction,mid_margin_delta,late_margin_delta
native,deepseek_v2_lite,A_pt_raw,1.0,0.0,0.99,0.005,-3.302290547688802,4.261041666666666
native,deepseek_v2_lite,B_early_raw,0.6383333333333333,0.11166666666666666,0.6566666666666666,0.14,-2.2064095052083332,4.441358032226563
native,deepseek_v2_lite,B_mid_raw,0.6183333333333333,0.11833333333333333,0.6433333333333333,0.12166666666666667,-2.6687470499674477,4.401424153645833
native,deepseek_v2_lite,B_late_raw,0.735,0.06666666666666667,0.7666666666666667,0.06833333333333333,-3.302290547688802,4.7062369791666665
native,deepseek_v2_lite,C_it_chat,0.0,1.0,0.011666666666666667,0.9833333333333333,2.735789693196615,8.711940002441406
native,deepseek_v2_lite,D_early_ptswap,0.021666666666666667,0.42,0.11666666666666667,0.5733333333333334,3.590071700414022,5.760061848958333
native,deepseek_v2_lite,D_mid_ptswap,0.02,0.4216666666666667,0.125,0.5983333333333334,2.0128239440917968,7.130177485148112
native,deepseek_v2_lite,D_late_ptswap,0.05333333333333334,0.5216666666666666,0.09333333333333334,0.65,2.735789693196615,4.285637919108073
native,gemma3_4b,A_pt_raw,1.0,0.0,1.0,0.0,-3.796003214518229,-4.6191650390625
native,gemma3_4b,B_early_raw,0.7366666666666667,0.0,0.7366666666666667,0.0,-3.0374606068929038,-3.7711330159505208
native,gemma3_4b,B_mid_raw,0.57,0.0,0.57,0.0,-2.405976355870565,-5.298430379231771
native,gemma3_4b,B_late_raw,0.69,0.0,0.69,0.0,-3.796003214518229,-7.0027734375
native,gemma3_4b,C_it_chat,0.0,1.0,0.0,1.0,-1.3206099446614583,32.34106867472331
native,gemma3_4b,D_early_ptswap,0.0,0.705,0.0,0.705,1.9361788940429687,16.17554000854492
native,gemma3_4b,D_mid_ptswap,0.0,0.7116666666666667,0.0,0.7116666666666667,-2.2341820271809896,13.180517578125
native,gemma3_4b,D_late_ptswap,0.0,0.81,0.0,0.81,-1.3206099446614583,10.341551513671876
native,llama31_8b,A_pt_raw,1.0,0.0,1.0,0.0,-1.9272052828470867,-12.323274536132812
native,llama31_8b,B_early_raw,0.695,0.0,0.695,0.0,-1.2806838130950928,-11.126859483718873
native,llama31_8b,B_mid_raw,0.6033333333333334,0.0,0.6033333333333334,0.0,-1.9562391408284505,-10.111541748046875
native,llama31_8b,B_late_raw,0.855,0.0,0.855,0.0,-1.9272052828470867,-15.147212117513021
native,llama31_8b,C_it_chat,0.0,1.0,0.0,1.0,1.852233238220215,24.16866133371989
native,llama31_8b,D_early_ptswap,0.0,0.6033333333333334,0.0,0.6033333333333334,2.854898880322774,14.086677571137747
native,llama31_8b,D_mid_ptswap,0.0,0.75,0.0,0.75,3.5475628932317096,13.982659746805826
native,llama31_8b,D_late_ptswap,0.0,0.805,0.0,0.805,1.852233238220215,12.01390343983968
native,mistral_7b,A_pt_raw,1.0,0.0,0.995,0.0033333333333333335,-1.1681456883748373,-1.5509553146362305
native,mistral_7b,B_early_raw,0.7566666666666667,0.17333333333333334,0.7716666666666666,0.17833333333333334,-1.0944914817810059,-1.2657786051432292
native,mistral_7b,B_mid_raw,0.655,0.23333333333333334,0.6633333333333333,0.235,-0.5891365337371827,-1.157782948811849
native,mistral_7b,B_late_raw,0.9083333333333333,0.051666666666666666,0.915,0.051666666666666666,-1.1681456883748373,-1.2743309656778972
native,mistral_7b,C_it_chat,0.0,1.0,0.0016666666666666668,0.9966666666666667,2.2715775712331134,7.8745951843261714
native,mistral_7b,D_early_ptswap,0.195,0.3466666666666667,0.205,0.37,0.9510328928629558,0.7962703959147135
native,mistral_7b,D_mid_ptswap,0.006666666666666667,0.28833333333333333,0.10333333333333333,0.47333333333333333,1.6451118723551432,5.278009567260742
native,mistral_7b,D_late_ptswap,0.03166666666666667,0.7333333333333333,0.03166666666666667,0.7466666666666667,2.2715775712331134,3.7721554056803384
