mode,pool,pair,agreement_fraction,first_divergence_step,no_divergence_count
native,dense5,A_pt_raw__B_early_raw,0.2318859170113935,5.41747197526092,413
native,dense5,A_pt_raw__B_mid_raw,0.16764065190837443,4.413171449595291,282
native,dense5,A_pt_raw__B_late_raw,0.17909449610687997,5.476507584165741,297
native,dense5,A_pt_raw__C_it_chat,0.013681890781648467,0.30366666666666664,0
native,dense5,C_it_chat__D_early_ptswap,0.07334437440234703,3.9688241274144356,49
native,dense5,C_it_chat__D_mid_ptswap,0.0818568336586394,4.520242914979757,36
native,dense5,C_it_chat__D_late_ptswap,0.15106500141392798,8.332869565217392,125
native,all6,A_pt_raw__B_early_raw,0.20724257240584829,5.359208045254557,418
native,all6,A_pt_raw__B_mid_raw,0.15590734517921878,4.8,290
native,all6,A_pt_raw__B_late_raw,0.17244402950203402,6.009756097560976,320
native,all6,A_pt_raw__C_it_chat,0.016852029309800176,0.5463888888888889,0
native,all6,C_it_chat__D_early_ptswap,0.0702098994454406,3.9845114052379613,49
native,all6,C_it_chat__D_mid_ptswap,0.07797119606060854,4.380404267265581,38
native,all6,C_it_chat__D_late_ptswap,0.1409296703471183,7.998271391529818,129
native,deepseek_only,A_pt_raw__B_early_raw,0.08402584937812196,5.105882352941176,5
native,deepseek_only,A_pt_raw__B_mid_raw,0.09724081153344019,6.576013513513513,8
native,deepseek_only,A_pt_raw__B_late_raw,0.13919169647780588,8.507798960138649,23
native,deepseek_only,A_pt_raw__C_it_chat,0.03270272195055876,1.76,0
native,deepseek_only,C_it_chat__D_early_ptswap,0.054537524660908464,4.0616666666666665,0
native,deepseek_only,C_it_chat__D_mid_ptswap,0.058543008070454275,3.6872909698996654,2
native,deepseek_only,C_it_chat__D_late_ptswap,0.09025301501306993,6.384228187919463,4
raw_shared,dense5,A_pt_raw__B_early_raw,0.23125837485263756,5.283726323927329,413
raw_shared,dense5,A_pt_raw__B_mid_raw,0.16730711000746018,4.275645756457565,290
raw_shared,dense5,A_pt_raw__B_late_raw,0.17660332314506522,5.461113158864725,287
raw_shared,dense5,A_pt_raw__C_it_chat,0.0433226901810919,1.608112638283607,17
raw_shared,dense5,C_it_chat__D_early_ptswap,0.14230145375747133,5.271469127040454,182
raw_shared,dense5,C_it_chat__D_mid_ptswap,0.11471413900299242,4.75678496868476,126
raw_shared,dense5,C_it_chat__D_late_ptswap,0.1861344229221006,6.406389301634473,308
raw_shared,all6,A_pt_raw__B_early_raw,0.2067255618942946,5.310496543054683,418
raw_shared,all6,A_pt_raw__B_mid_raw,0.15576706015137304,4.664445790430042,298
raw_shared,all6,A_pt_raw__B_late_raw,0.17097182027585472,6.053175326648435,309
raw_shared,all6,A_pt_raw__C_it_chat,0.04172710777009824,1.6692715601451298,17
raw_shared,all6,C_it_chat__D_early_ptswap,0.14500449710044144,4.990487514863258,236
raw_shared,all6,C_it_chat__D_mid_ptswap,0.12530773113482854,4.665980593942958,199
raw_shared,all6,C_it_chat__D_late_ptswap,0.1718358812769659,6.590742996345919,316
raw_shared,deepseek_only,A_pt_raw__B_early_raw,0.0840614971025796,5.426890756302521,5
raw_shared,deepseek_only,A_pt_raw__B_mid_raw,0.09806681087093716,6.444256756756757,8
raw_shared,deepseek_only,A_pt_raw__B_late_raw,0.14281430592980426,8.832179930795848,22
raw_shared,deepseek_only,A_pt_raw__C_it_chat,0.033749195715129944,1.9733333333333334,0
raw_shared,deepseek_only,C_it_chat__D_early_ptswap,0.15851971381529228,3.54029304029304,54
raw_shared,deepseek_only,C_it_chat__D_mid_ptswap,0.17827569179400923,4.170777988614801,73
raw_shared,deepseek_only,C_it_chat__D_late_ptswap,0.10034317305129295,7.429054054054054,8
