mode,model,event_kind,effect,metric,n,mean,ci_low,ci_high
native,gemma3_4b,first_diff,late_weight_effect:delta_cosine_mlp,delta_cosine_mlp,600,-0.033999795225150765,-0.034660554960826595,-0.033353182497398846
native,gemma3_4b,first_diff,upstream_context_effect:delta_cosine_mlp,delta_cosine_mlp,600,-0.05857292797945775,-0.06042939068970273,-0.05670059763828106
native,gemma3_4b,first_diff,late_interaction:delta_cosine_mlp,delta_cosine_mlp,600,-0.025969143500878998,-0.027073164856450088,-0.024923949144895107
native,gemma3_4b,first_diff,pure_IT_minus_PT:delta_cosine_mlp,delta_cosine_mlp,600,-0.09257272320460852,-0.09469879427166862,-0.090366921132304
native,gemma3_4b,first_diff,B_late_minus_A:delta_cosine_mlp,delta_cosine_mlp,600,-0.021015223474711266,-0.021707989967154475,-0.020337470960906927
native,gemma3_4b,first_diff,C_minus_D_late:delta_cosine_mlp,delta_cosine_mlp,600,-0.04698436697559026,-0.048008004506392137,-0.04596036749427246
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:delta_cosine_mlp,delta_cosine_mlp,600,-0.014338950250440534,-0.01489126779100081,-0.013798433362565577
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:delta_cosine_mlp,delta_cosine_mlp,600,0.030872795420488857,0.030431723764193085,0.03130517007299724
native,gemma3_4b,first_diff,late_weight_effect:negative_parallel_norm,negative_parallel_norm,600,0.7879844345405735,0.7667274353107145,0.8095832450201728
native,gemma3_4b,first_diff,upstream_context_effect:negative_parallel_norm,negative_parallel_norm,600,0.9153446607707885,0.8903186307990762,0.9411757181141813
native,gemma3_4b,first_diff,late_interaction:negative_parallel_norm,negative_parallel_norm,600,1.4068328405480035,1.3657344161784042,1.4473651209791212
native,gemma3_4b,first_diff,pure_IT_minus_PT:negative_parallel_norm,negative_parallel_norm,600,1.703329095311362,1.6581553363829502,1.7497237350712462
native,gemma3_4b,first_diff,B_late_minus_A:negative_parallel_norm,negative_parallel_norm,600,0.08456801426657183,0.07950205254685494,0.0894785058661188
native,gemma3_4b,first_diff,C_minus_D_late:negative_parallel_norm,negative_parallel_norm,600,1.4914008548145754,1.4492116740314083,1.5332703985733034
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:negative_parallel_norm,negative_parallel_norm,600,0.10380245600009706,0.0970534874411406,0.11074812413581508
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:negative_parallel_norm,negative_parallel_norm,600,-0.5407684119571925,-0.5514052034126031,-0.5293713446633478
native,gemma3_4b,first_diff,late_weight_effect:support_it_token,support_it_token,600,-6.900770101873647e-05,-0.00010277269688612294,-3.533965831489436e-05
native,gemma3_4b,first_diff,upstream_context_effect:support_it_token,support_it_token,600,9.83891285778511e-05,3.195474263546721e-05,0.0001643816906005321
native,gemma3_4b,first_diff,late_interaction:support_it_token,support_it_token,600,-0.0003321117881153311,-0.0004039688953420236,-0.00026224969870721306
native,gemma3_4b,first_diff,pure_IT_minus_PT:support_it_token,support_it_token,600,2.938142755911463e-05,-6.194669600310069e-05,0.00011502871223326237
