group,value,readout,effect,estimate,ci95_low,ci95_high,n_models,n_units,n_prompt_clusters,bootstrap_unit,n_boot,reportable,p_top1_it_U_PT__L_IT,p_top1_it_U_IT__L_IT,model_counts,model_cluster_counts,model_values
prompt_category,GOV-CONV,common_it,late_weight_effect,1.6654282811225865,1.5475964664061062,1.7830912521054048,5,1494,1494,prompt_cluster_within_family,2000,True,0.3092369477911647,0.9611780455153949,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 2.831770833333333, ""llama31_8b"": 1.0997916666666667, ""mistral_7b"": 1.2831965488215489, ""olmo2_7b"": 1.464491731791384, ""qwen3_4b"": 1.647890625}"
prompt_category,GOV-CONV,common_it,upstream_context_effect,2.9843173749005354,2.8563507392395224,3.110314011097918,5,1494,1494,prompt_cluster_within_family,2000,True,0.3092369477911647,0.9611780455153949,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 5.925729166666667, ""llama31_8b"": 1.5889583333333333, ""mistral_7b"": 2.6843960437710437, ""olmo2_7b"": 2.0379981223982995, ""qwen3_4b"": 2.6845052083333334}"
prompt_category,GOV-CONV,common_it,interaction,2.0509100734312526,1.9453834639167142,2.154458849023889,5,1494,1494,prompt_cluster_within_family,2000,True,0.3092369477911647,0.9611780455153949,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 5.824375, ""llama31_8b"": 0.42125, ""mistral_7b"": 1.37868265993266, ""olmo2_7b"": 0.9619614572236033, ""qwen3_4b"": 1.66828125}"
prompt_category,GOV-CONV,common_it,late_it_given_it_upstream,2.690883317838213,2.5568104976975152,2.825709697746508,5,1494,1494,prompt_cluster_within_family,2000,True,0.3092369477911647,0.9611780455153949,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 5.7439583333333335, ""llama31_8b"": 1.3104166666666666, ""mistral_7b"": 1.972537878787879, ""olmo2_7b"": 1.9454724604031854, ""qwen3_4b"": 2.48203125}"
prompt_category,GOV-CONV,common_it,late_it_given_pt_upstream,0.6399732444069602,0.5272303068424314,0.7536673802128545,5,1494,1494,prompt_cluster_within_family,2000,True,0.3092369477911647,0.9611780455153949,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": -0.08041666666666666, ""llama31_8b"": 0.8891666666666667, ""mistral_7b"": 0.5938552188552189, ""olmo2_7b"": 0.9835110031795823, ""qwen3_4b"": 0.81375}"
prompt_category,GOV-FORMAT,common_it,late_weight_effect,2.560877440003143,2.377968856495824,2.748265264085792,5,745,745,prompt_cluster_within_family,2000,True,0.16778523489932887,0.974496644295302,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 4.37671875, ""llama31_8b"": 2.3277880859375, ""mistral_7b"": 2.5941145833333334, ""olmo2_7b"": 2.3765470307448813, ""qwen3_4b"": 1.12921875}"
prompt_category,GOV-FORMAT,common_it,upstream_context_effect,6.464489899032418,6.102961961031507,6.805955306971758,5,745,745,prompt_cluster_within_family,2000,True,0.16778523489932887,0.974496644295302,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 8.630364583333334, ""llama31_8b"": 7.9384619140625, ""mistral_7b"": 7.488385416666667, ""olmo2_7b"": 5.93747716443292, ""qwen3_4b"": 2.3277604166666666}"
prompt_category,GOV-FORMAT,common_it,interaction,3.61092726012482,3.362320107085129,3.8772847521551728,5,745,745,prompt_cluster_within_family,2000,True,0.16778523489932887,0.974496644295302,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 7.9426041666666665, ""llama31_8b"": 2.3430631510416666, ""mistral_7b"": 3.989895833333333, ""olmo2_7b"": 2.7087606495824352, ""qwen3_4b"": 1.0703125}"
prompt_category,GOV-FORMAT,common_it,late_it_given_it_upstream,4.366341070065554,4.108318198228156,4.6280960837879395,5,745,745,prompt_cluster_within_family,2000,True,0.16778523489932887,0.974496644295302,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 8.348020833333333, ""llama31_8b"": 3.4993196614583333, ""mistral_7b"": 4.5890625, ""olmo2_7b"": 3.730927355536099, ""qwen3_4b"": 1.664375}"
prompt_category,GOV-FORMAT,common_it,late_it_given_pt_upstream,0.7554138099407328,0.5906946204876078,0.9099140136718749,5,745,745,prompt_cluster_within_family,2000,True,0.16778523489932887,0.974496644295302,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 0.40541666666666665, ""llama31_8b"": 1.1562565104166667, ""mistral_7b"": 0.5991666666666666, ""olmo2_7b"": 1.0221667059536639, ""qwen3_4b"": 0.5940625}"
