condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1_baseline,structural_token_ratio,ratio,0.04206831631417248,979,A1,none,1.0,0.0,[]
A1_baseline,mmlu_accuracy,accuracy,0.575,200,A1,none,1.0,0.0,[]
A1_baseline,exp3_reasoning_em,contains_em,0.5,100,A1,none,1.0,0.0,[]
A1_alpha_0,structural_token_ratio,ratio,0.05119518591764606,979,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,mmlu_accuracy,accuracy,0.54,200,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,exp3_reasoning_em,contains_em,0.48,100,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,structural_token_ratio,ratio,0.43224232089217574,979,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,mmlu_accuracy,accuracy,0.545,200,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,exp3_reasoning_em,contains_em,0.02,100,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,structural_token_ratio,ratio,0.07080203274214826,979,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,mmlu_accuracy,accuracy,0.525,200,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,exp3_reasoning_em,contains_em,0.43,100,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,structural_token_ratio,ratio,0.1903847271263555,979,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,mmlu_accuracy,accuracy,0.59,200,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,exp3_reasoning_em,contains_em,0.35,100,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,structural_token_ratio,ratio,0.10722073829057176,979,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,mmlu_accuracy,accuracy,0.5,200,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_reasoning_em,contains_em,0.36,100,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,structural_token_ratio,ratio,0.044363579768630174,979,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,mmlu_accuracy,accuracy,0.555,200,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,exp3_reasoning_em,contains_em,0.49,100,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,structural_token_ratio,ratio,0.08463101500050393,979,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,mmlu_accuracy,accuracy,0.38,200,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_reasoning_em,contains_em,0.2,100,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,structural_token_ratio,ratio,0.04206831631417248,979,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,mmlu_accuracy,accuracy,0.575,200,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,exp3_reasoning_em,contains_em,0.5,100,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,structural_token_ratio,ratio,0.03743938881759796,979,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,mmlu_accuracy,accuracy,0.31,200,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_reasoning_em,contains_em,0.03,100,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,structural_token_ratio,ratio,0.043639589833367125,979,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,mmlu_accuracy,accuracy,0.58,200,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,exp3_reasoning_em,contains_em,0.54,100,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,structural_token_ratio,ratio,0.019698618031241094,979,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,mmlu_accuracy,accuracy,0.405,200,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,exp3_reasoning_em,contains_em,0.01,100,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,structural_token_ratio,ratio,0.04596319359833538,979,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,mmlu_accuracy,accuracy,0.575,200,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,exp3_reasoning_em,contains_em,0.55,100,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,structural_token_ratio,ratio,0.047459212679251184,979,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,mmlu_accuracy,accuracy,0.565,200,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,exp3_reasoning_em,contains_em,0.52,100,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_baseline,coherent_assistant_rate,rate,0.9305413687436159,979,A1,none,1.0,0.0,[]
A1_alpha_0,coherent_assistant_rate,rate,0.9325842696629213,979,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,coherent_assistant_rate,rate,0.13789581205311544,979,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,coherent_assistant_rate,rate,0.9111338100102145,979,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,coherent_assistant_rate,rate,0.33401430030643514,979,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
