condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_baseline_pt,structural_token_ratio,ratio,0.020958530549797967,979,A2,none,1.0,0.0,[]
A2_baseline_pt,mmlu_accuracy,accuracy,0.55,200,A2,none,1.0,0.0,[]
A2_baseline_pt,exp3_reasoning_em,contains_em,0.2,100,A2,none,1.0,0.0,[]
A2_beta_0,structural_token_ratio,ratio,0.020958530549797967,979,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,mmlu_accuracy,accuracy,0.55,200,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,exp3_reasoning_em,contains_em,0.2,100,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,structural_token_ratio,ratio,0.020958530549797967,979,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,structural_token_ratio,ratio,0.0025853164468109817,979,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,mmlu_accuracy,accuracy,0.255,200,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,structural_token_ratio,ratio,0.04034827301630866,979,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,mmlu_accuracy,accuracy,0.49,200,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,exp3_reasoning_em,contains_em,0.31,100,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,structural_token_ratio,ratio,0.03047127123617496,979,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,structural_token_ratio,ratio,0.0035781655716849163,979,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,mmlu_accuracy,accuracy,0.26,200,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,structural_token_ratio,ratio,0.12212741659349523,979,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,mmlu_accuracy,accuracy,0.445,200,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,exp3_reasoning_em,contains_em,0.18,100,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,structural_token_ratio,ratio,0.14091168140070562,979,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-2,structural_token_ratio,ratio,0.0030856195133659487,979,A2,directional_add,1.0,-2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-2,mmlu_accuracy,accuracy,0.25,200,A2,directional_add,1.0,-2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-2,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,-2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,structural_token_ratio,ratio,0.733223850796281,979,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,mmlu_accuracy,accuracy,0.105,200,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,structural_token_ratio,ratio,0.020958530549797967,979,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-1,structural_token_ratio,ratio,0.007737217765629226,979,A2,directional_add,1.0,-1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-1,mmlu_accuracy,accuracy,0.215,200,A2,directional_add,1.0,-1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-1,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,-1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,structural_token_ratio,ratio,0.8255157047463517,979,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,mmlu_accuracy,accuracy,0.0,200,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,structural_token_ratio,ratio,0.15402676117541908,979,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,structural_token_ratio,ratio,0.008050655724517422,979,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,mmlu_accuracy,accuracy,0.185,200,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,structural_token_ratio,ratio,0.7062658247438635,979,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,mmlu_accuracy,accuracy,0.0,200,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,structural_token_ratio,ratio,0.5186688542663126,979,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,structural_token_ratio,ratio,0.026240206464790156,979,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,mmlu_accuracy,accuracy,0.225,200,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,exp3_reasoning_em,contains_em,0.05,100,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,structural_token_ratio,ratio,0.006128702757916241,979,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,mmlu_accuracy,accuracy,0.0,200,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,structural_token_ratio,ratio,0.020958530549797967,979,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,mmlu_accuracy,accuracy,0.55,200,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,structural_token_ratio,ratio,0.02548399584721321,979,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,mmlu_accuracy,accuracy,0.495,200,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,exp3_reasoning_em,contains_em,0.09,100,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
