condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_baseline_pt,exp3_alignment_behavior,behavior_match,0.5266666666666666,150,A2,none,1.0,0.0,[]
A2_baseline_pt,exp3_reasoning_em,contains_em,0.235,200,A2,none,1.0,0.0,[]
A2_baseline_pt,format_compliance_v2,compliance_rate,0.26136363636363635,176,A2,none,1.0,0.0,[]
A2_baseline_pt,mmlu_forced_choice,accuracy,0.48,300,A2,none,1.0,0.0,[]
A2_baseline_pt,structural_token_ratio,ratio,0.0242737022424762,1400,A2,none,1.0,0.0,[]
A2_beta_-0.25,exp3_alignment_behavior,behavior_match,0.4866666666666667,150,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,exp3_reasoning_em,contains_em,0.18,200,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,format_compliance_v2,compliance_rate,0.25842696629213485,178,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,mmlu_forced_choice,accuracy,0.43666666666666665,300,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,structural_token_ratio,ratio,0.0438992323199467,1400,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,exp3_reasoning_em,contains_em,0.115,200,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,format_compliance_v2,compliance_rate,0.27932960893854747,179,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,mmlu_forced_choice,accuracy,0.4033333333333333,300,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,structural_token_ratio,ratio,0.1586574907655631,1400,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
