condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randmatched_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.7533333333333333,150,A1_rand_matched,directional_random_matched,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-0.5,exp3_reasoning_em,contains_em,0.365,200,A1_rand_matched,directional_random_matched,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-0.5,format_compliance_v2,compliance_rate,0.33516483516483514,182,A1_rand_matched,directional_random_matched,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-0.5,mmlu_forced_choice,accuracy,0.5266666666666666,300,A1_rand_matched,directional_random_matched,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-0.5,structural_token_ratio,ratio,0.04172663705979697,1400,A1_rand_matched,directional_random_matched,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-1,exp3_alignment_behavior,behavior_match,0.6933333333333334,150,A1_rand_matched,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-1,exp3_reasoning_em,contains_em,0.12,200,A1_rand_matched,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-1,format_compliance_v2,compliance_rate,0.3241758241758242,182,A1_rand_matched,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-1,mmlu_forced_choice,accuracy,0.5333333333333333,300,A1_rand_matched,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-1,structural_token_ratio,ratio,0.03891819574068504,1400,A1_rand_matched,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-2,exp3_alignment_behavior,behavior_match,0.74,150,A1_rand_matched,directional_random_matched,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-2,exp3_reasoning_em,contains_em,0.01,200,A1_rand_matched,directional_random_matched,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-2,format_compliance_v2,compliance_rate,0.292817679558011,181,A1_rand_matched,directional_random_matched,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-2,mmlu_forced_choice,accuracy,0.5033333333333333,300,A1_rand_matched,directional_random_matched,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-2,structural_token_ratio,ratio,0.01797546532695609,1400,A1_rand_matched,directional_random_matched,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-3,exp3_alignment_behavior,behavior_match,0.7933333333333333,150,A1_rand_matched,directional_random_matched,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-3,exp3_reasoning_em,contains_em,0.0,200,A1_rand_matched,directional_random_matched,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-3,format_compliance_v2,compliance_rate,0.26519337016574585,181,A1_rand_matched,directional_random_matched,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-3,mmlu_forced_choice,accuracy,0.49,300,A1_rand_matched,directional_random_matched,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-3,structural_token_ratio,ratio,0.021654175335528273,1400,A1_rand_matched,directional_random_matched,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-5,exp3_alignment_behavior,behavior_match,0.8066666666666666,150,A1_rand_matched,directional_random_matched,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-5,exp3_reasoning_em,contains_em,0.0,200,A1_rand_matched,directional_random_matched,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_-5,format_compliance_v2,compliance_rate,0.23076923076923078,182,A1_rand_matched,directional_random_matched,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
