condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randms_baseline,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched_multiseed,none,1.0,0.0,[]
A1randms_baseline,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched_multiseed,none,1.0,0.0,[]
A1randms_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched_multiseed,none,1.0,0.0,[]
A1randms_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,none,1.0,0.0,[]
A1randms_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched_multiseed,none,1.0,0.0,[]
A1randms_s137_alpha_-1,exp3_alignment_behavior,behavior_match,0.5666666666666667,150,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_-1,exp3_reasoning_em,contains_em,0.105,200,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_-1,format_compliance_v2,compliance_rate,0.38461538461538464,182,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_-1,mmlu_forced_choice,accuracy,0.45,300,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_-1,structural_token_ratio,ratio,0.045258768017150675,1400,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0,exp3_alignment_behavior,behavior_match,0.5933333333333334,150,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0,exp3_reasoning_em,contains_em,0.575,200,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0,format_compliance_v2,compliance_rate,0.4175824175824176,182,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0,mmlu_forced_choice,accuracy,0.49,300,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0,structural_token_ratio,ratio,0.0495668993953056,1400,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5466666666666666,150,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0.5,exp3_reasoning_em,contains_em,0.555,200,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0.5,format_compliance_v2,compliance_rate,0.47802197802197804,182,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0.5,mmlu_forced_choice,accuracy,0.49,300,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_0.5,structural_token_ratio,ratio,0.0499048343726159,1400,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_2,exp3_alignment_behavior,behavior_match,0.6266666666666667,150,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_2,exp3_reasoning_em,contains_em,0.57,200,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_2,format_compliance_v2,compliance_rate,0.46703296703296704,182,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_2,mmlu_forced_choice,accuracy,0.5233333333333333,300,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s137_alpha_2,structural_token_ratio,ratio,0.05299068953559171,1400,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,exp3_alignment_behavior,behavior_match,0.5933333333333334,150,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,exp3_reasoning_em,contains_em,0.23,200,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,format_compliance_v2,compliance_rate,0.38461538461538464,182,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,mmlu_forced_choice,accuracy,0.4766666666666667,300,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,structural_token_ratio,ratio,0.062119092247319825,1400,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0,exp3_alignment_behavior,behavior_match,0.64,150,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
