layer_range,alpha,benchmark,value,condition
18-33,-5.0,exp3_alignment_behavior,0.4266666666666667,A1_alpha_-5
18-33,-3.0,exp3_alignment_behavior,0.5,A1_alpha_-3
18-33,-2.0,exp3_alignment_behavior,0.5066666666666667,A1_alpha_-2
18-33,-1.0,exp3_alignment_behavior,0.56,A1_alpha_-1
18-33,-0.5,exp3_alignment_behavior,0.56,A1_alpha_-0.5
18-33,0.0,exp3_alignment_behavior,0.5866666666666667,A1_alpha_0
18-33,0.25,exp3_alignment_behavior,0.5866666666666667,A1_alpha_0.25
18-33,0.5,exp3_alignment_behavior,0.5666666666666667,A1_alpha_0.5
18-33,0.75,exp3_alignment_behavior,0.5533333333333333,A1_alpha_0.75
18-33,1.0,exp3_alignment_behavior,0.58,A1_alpha_1
18-33,1.5,exp3_alignment_behavior,0.5933333333333334,A1_alpha_1.5
18-33,2.0,exp3_alignment_behavior,0.8,A1_alpha_2
18-33,3.0,exp3_alignment_behavior,0.9066666666666666,A1_alpha_3
18-33,5.0,exp3_alignment_behavior,0.5933333333333334,A1_alpha_5
20-31,-5.0,exp3_alignment_behavior,0.72,A1_alpha_-5
20-31,-3.0,exp3_alignment_behavior,0.5866666666666667,A1_alpha_-3
20-31,-2.0,exp3_alignment_behavior,0.5866666666666667,A1_alpha_-2
20-31,-1.0,exp3_alignment_behavior,0.6333333333333333,A1_alpha_-1
20-31,-0.5,exp3_alignment_behavior,0.56,A1_alpha_-0.5
20-31,0.0,exp3_alignment_behavior,0.5466666666666666,A1_alpha_0
20-31,0.25,exp3_alignment_behavior,0.5666666666666667,A1_alpha_0.25
20-31,0.5,exp3_alignment_behavior,0.5866666666666667,A1_alpha_0.5
20-31,0.75,exp3_alignment_behavior,0.5666666666666667,A1_alpha_0.75
20-31,1.0,exp3_alignment_behavior,0.58,A1_alpha_1
20-31,1.5,exp3_alignment_behavior,0.5666666666666667,A1_alpha_1.5
20-31,2.0,exp3_alignment_behavior,0.6933333333333334,A1_alpha_2
20-31,3.0,exp3_alignment_behavior,0.82,A1_alpha_3
20-31,5.0,exp3_alignment_behavior,0.9333333333333333,A1_alpha_5
20-33,-5.0,exp3_alignment_behavior,0.52,A1_alpha_-5
20-33,-3.0,exp3_alignment_behavior,0.5066666666666667,A1_alpha_-3
