condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1single_baseline,exp3_alignment_behavior,behavior_match,0.58,300,A1_single_layer,none,1.0,0.0,[]
A1single_baseline,exp3_reasoning_em,contains_em,0.53,400,A1_single_layer,none,1.0,0.0,[]
A1single_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1_single_layer,none,1.0,0.0,[]
A1single_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1_single_layer,none,1.0,0.0,[]
A1single_baseline,structural_token_ratio,ratio,0.04936480542251297,2800,A1_single_layer,none,1.0,0.0,[]
A1single_layer_20,exp3_alignment_behavior,behavior_match,0.5466666666666666,300,A1_single_layer,directional_remove,0.0,0.0,[20]
A1single_layer_20,exp3_reasoning_em,contains_em,0.54,400,A1_single_layer,directional_remove,0.0,0.0,[20]
A1single_layer_20,format_compliance_v2,compliance_rate,0.47802197802197804,364,A1_single_layer,directional_remove,0.0,0.0,[20]
A1single_layer_20,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1_single_layer,directional_remove,0.0,0.0,[20]
A1single_layer_20,structural_token_ratio,ratio,0.04973877783917328,2800,A1_single_layer,directional_remove,0.0,0.0,[20]
A1single_layer_21,exp3_alignment_behavior,behavior_match,0.6133333333333333,300,A1_single_layer,directional_remove,0.0,0.0,[21]
A1single_layer_21,exp3_reasoning_em,contains_em,0.535,400,A1_single_layer,directional_remove,0.0,0.0,[21]
A1single_layer_21,format_compliance_v2,compliance_rate,0.489010989010989,364,A1_single_layer,directional_remove,0.0,0.0,[21]
A1single_layer_21,mmlu_forced_choice,accuracy,0.5166666666666667,600,A1_single_layer,directional_remove,0.0,0.0,[21]
A1single_layer_21,structural_token_ratio,ratio,0.048180728620832086,2800,A1_single_layer,directional_remove,0.0,0.0,[21]
A1single_layer_22,exp3_alignment_behavior,behavior_match,0.5466666666666666,300,A1_single_layer,directional_remove,0.0,0.0,[22]
A1single_layer_22,exp3_reasoning_em,contains_em,0.515,400,A1_single_layer,directional_remove,0.0,0.0,[22]
A1single_layer_22,format_compliance_v2,compliance_rate,0.44505494505494503,364,A1_single_layer,directional_remove,0.0,0.0,[22]
A1single_layer_22,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1_single_layer,directional_remove,0.0,0.0,[22]
A1single_layer_22,structural_token_ratio,ratio,0.04871235638982281,2800,A1_single_layer,directional_remove,0.0,0.0,[22]
A1single_layer_23,exp3_alignment_behavior,behavior_match,0.6,300,A1_single_layer,directional_remove,0.0,0.0,[23]
A1single_layer_23,exp3_reasoning_em,contains_em,0.545,400,A1_single_layer,directional_remove,0.0,0.0,[23]
A1single_layer_23,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1_single_layer,directional_remove,0.0,0.0,[23]
A1single_layer_23,mmlu_forced_choice,accuracy,0.5,600,A1_single_layer,directional_remove,0.0,0.0,[23]
A1single_layer_23,structural_token_ratio,ratio,0.053078238878600435,2800,A1_single_layer,directional_remove,0.0,0.0,[23]
A1single_layer_24,exp3_alignment_behavior,behavior_match,0.58,300,A1_single_layer,directional_remove,0.0,0.0,[24]
A1single_layer_24,exp3_reasoning_em,contains_em,0.51,400,A1_single_layer,directional_remove,0.0,0.0,[24]
A1single_layer_24,format_compliance_v2,compliance_rate,0.47802197802197804,364,A1_single_layer,directional_remove,0.0,0.0,[24]
A1single_layer_24,mmlu_forced_choice,accuracy,0.49,600,A1_single_layer,directional_remove,0.0,0.0,[24]
