condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1formula_attn_proj_remove_alpha_0,exp3_alignment_behavior,behavior_match,0.5666666666666667,150,A1_formula,directional_remove_attn,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0,exp3_reasoning_em,contains_em,0.53,200,A1_formula,directional_remove_attn,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0,format_compliance_v2,compliance_rate,0.4945054945054945,182,A1_formula,directional_remove_attn,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1_formula,directional_remove_attn,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0,structural_token_ratio,ratio,0.04978777601813109,1400,A1_formula,directional_remove_attn,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5733333333333334,150,A1_formula,directional_remove_attn,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0.5,exp3_reasoning_em,contains_em,0.545,200,A1_formula,directional_remove_attn,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0.5,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_formula,directional_remove_attn,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0.5,mmlu_forced_choice,accuracy,0.5,300,A1_formula,directional_remove_attn,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_attn_proj_remove_alpha_0.5,structural_token_ratio,ratio,0.04958450888092791,1400,A1_formula,directional_remove_attn,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
