key,group,condition,metric,estimate,ci95_low,ci95_high,n
gemma_g2_pointwise_C_it_chat,pointwise,C_it_chat,assistant_register_g2_mean,4.733333333333333,4.631111111111111,4.822222222222222,225
gemma_g2_pointwise_D_early_ptswap,pointwise,D_early_ptswap,assistant_register_g2_mean,4.751111111111111,4.666666666666667,4.831111111111111,225
gemma_g2_pointwise_D_mid_ptswap,pointwise,D_mid_ptswap,assistant_register_g2_mean,4.235555555555556,4.1066666666666665,4.36,225
gemma_g2_pointwise_D_late_ptswap,pointwise,D_late_ptswap,assistant_register_g2_mean,3.928888888888889,3.7688888888888887,4.08,225
gemma_g2_late_swap_drop,paired_delta,C_it_chat_minus_D_late_ptswap,assistant_register_g2_mean_drop,0.8044444444444444,0.6488888888888888,0.96,225
gemma_pairwise_assistant_register_g2_native_win,pairwise,C_it_chat_vs_D_late_ptswap,assistant_register_g2_native_win_rate,0.9466666666666667,0.9155555555555556,0.9733333333333334,225
gemma_pairwise_assistant_register_g2_late_swap_win,pairwise,C_it_chat_vs_D_late_ptswap,assistant_register_g2_late_swap_win_rate,0.05333333333333334,0.02666666666666667,0.08444444444444445,225
gemma_pairwise_safety_format_s2_native_win,pairwise,C_it_chat_vs_D_late_ptswap,safety_format_s2_native_win_rate,0.9333333333333333,0.8666666666666667,0.9866666666666667,75
gemma_pairwise_safety_format_s2_late_swap_win,pairwise,C_it_chat_vs_D_late_ptswap,safety_format_s2_late_swap_win_rate,0.06666666666666667,0.013333333333333334,0.13333333333333333,75
gemma_programmatic_mmlu_forced_choice_C_it_chat,programmatic,C_it_chat,mmlu_forced_choice,0.5166666666666667,,,60
gemma_programmatic_mmlu_forced_choice_D_late_ptswap,programmatic,D_late_ptswap,mmlu_forced_choice,0.48333333333333334,,,60
gemma_programmatic_reasoning_em_C_it_chat,programmatic,C_it_chat,reasoning_em,0.85,,,40
gemma_programmatic_reasoning_em_D_late_ptswap,programmatic,D_late_ptswap,reasoning_em,0.925,,,40
gemma_programmatic_format_compliance_v2_C_it_chat,programmatic,C_it_chat,format_compliance_v2,0.5735294117647058,,,68
gemma_programmatic_format_compliance_v2_D_late_ptswap,programmatic,D_late_ptswap,format_compliance_v2,0.4117647058823529,,,68
