key,teacher_source,comparison,method,probe_family,outcome,estimate,ci95_low,ci95_high,models,n_models
pt_raw_native_fixed_raw_late_kl,pt_raw,native_fixed_effect,paired_same_prompt_step,raw,late_kl_mean,0.6099064636080573,0.1347355694558327,1.0790309459331273,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_native_fixed_tuned_late_kl,pt_raw,native_fixed_effect,paired_same_prompt_step,tuned,late_kl_mean,0.5122980632277503,0.12198960486807904,0.9258515922746037,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_raw_fixed_raw_late_kl,pt_raw,raw_fixed_effect,paired_same_prompt_step,raw,late_kl_mean,0.42864766753694505,0.15496536670165056,0.6385921984357867,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_raw_fixed_tuned_late_kl,pt_raw,raw_fixed_effect,paired_same_prompt_step,tuned,late_kl_mean,0.33435325998856974,0.12533062146169743,0.5558743499791252,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_template_delta_raw_late_kl,pt_raw,template_delta,paired_same_prompt_step,raw,late_kl_mean,0.18125879607111228,-0.10476342332753501,0.46728101546975953,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_template_delta_tuned_late_kl,pt_raw,template_delta,paired_same_prompt_step,tuned,late_kl_mean,0.17794480323918055,-0.02434847172938811,0.41582905099549594,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_native_fixed_cem_raw_late_kl,pt_raw,native_fixed_effect,cem,raw,late_kl_mean,0.02468801855682825,-0.18319093569040268,0.2325669728040592,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_raw_fixed_cem_raw_late_kl,pt_raw,raw_fixed_effect,cem,raw,late_kl_mean,0.011591381762611697,-0.04048561475494221,0.06366837828016561,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_template_delta_cem_raw_late_kl,pt_raw,template_delta,cem,raw,late_kl_mean,-0.10595619486759919,-0.27416738566394366,0.11059461946539835,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_native_fixed_future_top1_flips,pt_raw,native_fixed_effect,paired_same_prompt_step,pooled_probe_fe,future_top1_flips,0.03251452661518902,-0.012114310391268434,0.08113999083555463,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_raw_fixed_future_top1_flips,pt_raw,raw_fixed_effect,paired_same_prompt_step,pooled_probe_fe,future_top1_flips,0.03876568486502742,0.02096575411708615,0.05828764968187337,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
pt_raw_template_delta_future_top1_flips,pt_raw,template_delta,paired_same_prompt_step,pooled_probe_fe,future_top1_flips,-0.006251158249838409,-0.0435262867598601,0.03221154262046337,llama31_8b qwen3_4b olmo2_7b mistral_7b gemma3_4b,5
