effect,readout,core5_estimate,core5_ci95_low,core5_ci95_high,core5_n_models,family_median,trimmed_mean,ci_method,models
late_it_given_pt_upstream,common_it,0.7469052655716241,0.6727469609170034,0.8210635702262448,5,0.7620994125209978,0.7229552845922519,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_it_given_it_upstream,common_it,2.4557634664544556,2.364128209271842,2.547398723637069,5,2.422825697924123,2.361578301448294,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_weight_effect,common_it,1.60133436601304,1.528749749956208,1.6739189820698719,5,1.6854287886375454,1.6017332084304436,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
upstream_context_effect,common_it,3.3405747334744396,3.223656993055027,3.457492473893852,5,3.541227620616301,3.3651421441550866,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
interaction,common_it,1.708858200882832,1.637497715026465,1.780218686739199,5,1.4641145833333333,1.5856583392475068,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_it_given_pt_upstream,common_pt,0.762084843222978,0.6984747912693463,0.8256948951766097,5,0.7585492679283481,0.7559541396566716,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_it_given_it_upstream,common_pt,2.498969140244486,2.412822698313807,2.585115582175165,5,2.407614531138153,2.39439685015622,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_weight_effect,common_pt,1.630526991733732,1.5661327409721295,1.6949212424953344,5,1.6683853793843952,1.6155209772893298,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
upstream_context_effect,common_pt,3.3655721839796087,3.2482068074804755,3.482937560478742,5,3.4784556415707586,3.4123894022249748,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
interaction,common_pt,1.7368842970215082,1.6654538987103262,1.80831469533269,5,1.4810416666666666,1.5944683255948917,family_bootstrap_normal_approx_from_stored_per_family_cis,llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
