effect,readout,dense6_estimate,dense6_ci95_low,dense6_ci95_high,dense6_n_models,dense6_n_prompt_clusters,gemma_removed_estimate,gemma_removed_ci95_low,gemma_removed_ci95_high,family_median,trimmed_mean,ci_method,models
late_it_given_pt_upstream,common_it,0.6394436240874645,0.5701861731491235,0.7087010750258055,6,4380,0.7469052655716241,0.6727469609170034,0.8210635702262448,0.6877394047529612,0.6894755780275222,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_it_given_it_upstream,common_it,3.076473895656491,2.978483326768415,3.174464464544567,6,4380,2.4557634664544556,2.364128209271842,2.547398723637069,2.515791931339108,2.558028104226924,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_weight_effect,common_it,1.8579587598719778,1.7856132110910603,1.9303043086528953,6,4380,1.60133436601304,1.528749749956208,1.6739189820698719,1.6925768227368114,1.6713945200163,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
upstream_context_effect,common_it,3.874074864700922,3.760931732389342,3.9872179970125026,6,4380,3.3405747334744396,3.223656993055027,3.457492473893852,3.739444987065963,3.662993045511625,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
interaction,common_it,2.4370302715690264,2.3526391879414423,2.5214213551966105,6,4380,1.708858200882832,1.637497715026465,1.780218686739199,1.655386667783214,1.8227432833301025,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_it_given_pt_upstream,common_pt,0.6620542096302594,0.6002960949264958,0.723812324334023,6,4380,0.762084843222978,0.6984747912693463,0.8256948951766097,0.7228163006308408,0.7203169971210632,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_it_given_it_upstream,common_pt,3.083229491870405,2.9862991506674033,3.180159833073407,6,4380,2.498969140244486,2.412822698313807,2.585115582175165,2.495034402838497,2.5816801753056073,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
late_weight_effect,common_pt,1.8726418507503322,1.8040410697588014,1.941242631741863,6,4380,1.630526991733732,1.5661327409721295,1.6949212424953344,1.669443575308995,1.6812576980004983,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
upstream_context_effect,common_pt,3.850331420677452,3.7365488034791943,3.96411403787571,6,4380,3.3655721839796087,3.2482068074804755,3.482937560478742,3.794782020004129,3.688999835378949,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
interaction,common_pt,2.4211752822401453,2.336755061591529,2.5055955028887618,6,4380,1.7368842970215082,1.6654538987103262,1.80831469533269,1.6524733366385798,1.8283823895060516,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b;qwen25_32b
