model,cell,readout,metric,n,mean,median,p05,p95
gemma3_4b,U_PT__L_PT,common_it,it_vs_pt_margin,600,-2.6119010416666666,-2.125,-7.8218749999999995,0.25
gemma3_4b,U_PT__L_PT,common_it,it_rank,600,88.66666666666667,7.0,2.0,258.1999999999998
gemma3_4b,U_PT__L_PT,common_it,pt_rank,600,4.443333333333333,1.0,1.0,5.0499999999999545
gemma3_4b,U_PT__L_PT,common_it,late_kl_mean,600,1.238781429684854,1.2212609520980289,0.3603503133303353,2.2318838624017574
gemma3_4b,U_PT__L_PT,common_it,remaining_adj_js,600,0.3158562230167378,0.29768214165233076,0.11898340151043764,0.5629243526297311
gemma3_4b,U_PT__L_PT,common_it,future_top1_flips,600,1.2561111111111112,1.1666666666666667,0.0,2.6666666666666665
gemma3_4b,U_PT__L_PT,common_it,top5_churn,600,0.3442140652557319,0.34722222222222227,0.16666666666666666,0.5218253968253969
gemma3_4b,U_PT__L_PT,common_it,top_choice_pt_rate,600,0.7383333333333333,443,,
gemma3_4b,U_PT__L_PT,common_it,top_choice_it_rate,600,0.03666666666666667,22,,
gemma3_4b,U_PT__L_PT,common_it,top_choice_other_rate,600,0.225,135,,
gemma3_4b,U_PT__L_PT,common_pt,it_vs_pt_margin,600,-2.50203125,-1.90625,-6.94375,-0.25
gemma3_4b,U_PT__L_PT,common_pt,it_rank,600,92.02666666666667,6.0,2.0,285.04999999999995
gemma3_4b,U_PT__L_PT,common_pt,pt_rank,600,1.0166666666666666,1.0,1.0,1.0
gemma3_4b,U_PT__L_PT,common_pt,late_kl_mean,600,1.1212899613730787,1.1140776234013694,0.38968300925833843,1.8104660165097026
gemma3_4b,U_PT__L_PT,common_pt,remaining_adj_js,600,0.30887248476904794,0.2891942411661148,0.12931473198647533,0.5231252022242792
gemma3_4b,U_PT__L_PT,common_pt,future_top1_flips,600,1.1838888888888888,1.1666666666666667,0.0,2.5
gemma3_4b,U_PT__L_PT,common_pt,top5_churn,600,0.3526862874779541,0.35714285714285715,0.16587301587301592,0.5317460317460317
gemma3_4b,U_PT__L_PT,common_pt,top_choice_pt_rate,600,0.9766666666666667,586,,
gemma3_4b,U_PT__L_PT,common_pt,top_choice_it_rate,600,0.005,3,,
gemma3_4b,U_PT__L_PT,common_pt,top_choice_other_rate,600,0.018333333333333333,11,,
gemma3_4b,U_PT__L_IT,common_it,it_vs_pt_margin,600,-2.509765625,-2.1875,-8.63125,1.8812499999999943
gemma3_4b,U_PT__L_IT,common_it,it_rank,600,93.90833333333333,5.0,1.0,137.04999999999995
gemma3_4b,U_PT__L_IT,common_it,pt_rank,600,7.8,1.0,1.0,7.0
gemma3_4b,U_PT__L_IT,common_it,late_kl_mean,600,1.1027545437674107,0.9042600175099713,0.14920938572447215,2.966232778344834
gemma3_4b,U_PT__L_IT,common_it,remaining_adj_js,600,0.2438637935769657,0.22445696607852975,0.047468291154655166,0.5016695300670714
gemma3_4b,U_PT__L_IT,common_it,future_top1_flips,600,1.0119444444444445,1.0,0.0,2.5
gemma3_4b,U_PT__L_IT,common_it,top5_churn,600,0.31165564373897714,0.3174603174603175,0.11111111111111112,0.48214285714285715
gemma3_4b,U_PT__L_IT,common_it,top_choice_pt_rate,600,0.5466666666666666,328,,
gemma3_4b,U_PT__L_IT,common_it,top_choice_it_rate,600,0.14,84,,
gemma3_4b,U_PT__L_IT,common_it,top_choice_other_rate,600,0.31333333333333335,188,,
gemma3_4b,U_PT__L_IT,common_pt,it_vs_pt_margin,600,-2.3401302083333335,-2.0,-8.128125,1.8874999999999886
gemma3_4b,U_PT__L_IT,common_pt,it_rank,600,125.015,6.0,1.0,171.4499999999996
gemma3_4b,U_PT__L_IT,common_pt,pt_rank,600,3.5183333333333335,2.0,1.0,11.0
gemma3_4b,U_PT__L_IT,common_pt,late_kl_mean,600,1.0706036392987395,0.9452399941427367,0.16177510784140656,2.4661561000559984
gemma3_4b,U_PT__L_IT,common_pt,remaining_adj_js,600,0.26152200319204516,0.2430563909341193,0.04941568066278706,0.522474831404785
