model,readout,effect,n,estimate,median,p05,p95
gemma3_4b,common_it,interaction,600,6.077890625,5.125,0.875,14.887499999999989
gemma3_4b,common_pt,interaction,600,5.8426302083333335,4.78125,0.6218750000000002,15.140624999999986
llama31_8b,common_it,interaction,600,1.25331787109375,0.625,-0.5062499999999996,4.9375
llama31_8b,common_pt,interaction,600,1.3708919270833333,0.71875,-0.375,4.875
mistral_7b,common_it,interaction,597,2.5339981155778895,1.6875,0.125,7.168749999999996
mistral_7b,common_pt,interaction,597,2.530124581239531,1.640625,0.125,7.131249999999998
olmo2_7b,common_it,interaction,586,1.846658752233095,1.06494140625,-0.1107177734375,6.517822265625
olmo2_7b,common_pt,interaction,586,1.8239050066104927,1.0556640625,-0.096923828125,6.4171142578125
qwen3_4b,common_it,interaction,600,1.4641145833333333,1.125,-0.8156249999999998,5.25
qwen3_4b,common_pt,interaction,600,1.4810416666666666,1.125,-0.75,5.190624999999997
