position_filter,axis,category,count,total,record_fraction,family_balanced_fraction,models_present
all,prompt_category,GOV-CONV,1494,2983,0.5008380824673148,0.5008626751504965,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_category,GOV-FORMAT,745,2983,0.24974857525980557,0.24973931088891557,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_category,SAFETY,744,2983,0.24941334227287965,0.24939801396058794,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_source,custom,1030,2983,0.3452899765336909,0.3453188925286272,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_source,IFEval,745,2983,0.24974857525980557,0.24973931088891557,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_source,MT-Bench,394,2983,0.1320817968488099,0.13207550837235096,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_source,custom_safe,369,2983,0.12370097217566209,0.12367511619531102,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_source,advbench,345,2983,0.11565538048944016,0.11566506594405475,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,prompt_source,WildChat-style,100,2983,0.03352329869259135,0.033526106070740504,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,it_token_category,CONTENT,1265,2983,0.4240697284612806,0.42402804694690743,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,it_token_category,FUNCTION_OTHER,1033,2983,0.34629567549446866,0.3462136907518251,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,it_token_category,FORMAT,685,2983,0.22963459604425077,0.22975826230126742,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,pt_token_category,FUNCTION_OTHER,1283,2983,0.430103922225947,0.4301513483229572,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,pt_token_category,CONTENT,1151,2983,0.3858531679517265,0.38594235111850494,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
all,pt_token_category,FORMAT,549,2983,0.18404290982232652,0.18390630055853785,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_category,GOV-CONV,556,1499,0.3709139426284189,0.39221502932871394,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_category,SAFETY,522,1499,0.3482321547698466,0.3512087130939979,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_category,GOV-FORMAT,421,1499,0.2808539026017345,0.2565762575772882,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_source,IFEval,421,1499,0.2808539026017345,0.2565762575772882,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_source,advbench,301,1499,0.2008005336891261,0.21537398546248782,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_source,custom,287,1499,0.1914609739826551,0.19982897015415368,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_source,MT-Bench,218,1499,0.14543028685790527,0.15519307695792997,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_source,custom_safe,200,1499,0.133422281521014,0.12122579868455892,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,prompt_source,WildChat-style,72,1499,0.04803202134756504,0.05180191116358144,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,it_token_category,FUNCTION_OTHER,654,1499,0.4362908605737158,0.4469770622945918,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
step_0,it_token_category,CONTENT,423,1499,0.28218812541694466,0.2955605610630756,gemma3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen3_4b
