position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_models,n_prompt_clusters,reportable,model_counts,model_values
all,all positions,ALL,interaction,2.6351959894476136,2.538886552713058,2.7314923658113823,5,2983,True,"{""gemma3_4b"": 600, ""llama31_8b"": 600, ""mistral_7b"": 597, ""olmo2_7b"": 586, ""qwen3_4b"": 600}","{""gemma3_4b"": 6.077890625, ""llama31_8b"": 1.25331787109375, ""mistral_7b"": 2.5339981155778895, ""olmo2_7b"": 1.846658752233095, ""qwen3_4b"": 1.4641145833333333}"
all,all positions,ALL,late_given_pt,0.5720075457553511,0.4936539866441588,0.6497807812644474,5,2983,True,"{""gemma3_4b"": 600, ""llama31_8b"": 600, ""mistral_7b"": 597, ""olmo2_7b"": 586, ""qwen3_4b"": 600}","{""gemma3_4b"": 0.10213541666666667, ""llama31_8b"": 0.7933870442708333, ""mistral_7b"": 0.6133793969849246, ""olmo2_7b"": 0.7620994125209978, ""qwen3_4b"": 0.5890364583333333}"
all,all positions,ALL,late_given_it,3.2072035352029644,3.089883557688794,3.3241929693060377,5,2983,True,"{""gemma3_4b"": 600, ""llama31_8b"": 600, ""mistral_7b"": 597, ""olmo2_7b"": 586, ""qwen3_4b"": 600}","{""gemma3_4b"": 6.180026041666666, ""llama31_8b"": 2.0467049153645833, ""mistral_7b"": 3.147377512562814, ""olmo2_7b"": 2.608758164754093, ""qwen3_4b"": 2.0531510416666667}"
all,all positions,GOV-CONV,interaction,2.0509100734312526,1.9490479270703864,2.1587945139156046,5,1494,True,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 5.824375, ""llama31_8b"": 0.42125, ""mistral_7b"": 1.37868265993266, ""olmo2_7b"": 0.9619614572236033, ""qwen3_4b"": 1.66828125}"
all,all positions,GOV-CONV,late_given_pt,0.6399732444069602,0.5246741896504102,0.7509498568961916,5,1494,True,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": -0.08041666666666666, ""llama31_8b"": 0.8891666666666667, ""mistral_7b"": 0.5938552188552189, ""olmo2_7b"": 0.9835110031795823, ""qwen3_4b"": 0.81375}"
all,all positions,GOV-CONV,late_given_it,2.690883317838213,2.5509812651817243,2.836355582302106,5,1494,True,"{""gemma3_4b"": 300, ""llama31_8b"": 300, ""mistral_7b"": 297, ""olmo2_7b"": 297, ""qwen3_4b"": 300}","{""gemma3_4b"": 5.7439583333333335, ""llama31_8b"": 1.3104166666666666, ""mistral_7b"": 1.972537878787879, ""olmo2_7b"": 1.9454724604031854, ""qwen3_4b"": 2.48203125}"
all,all positions,GOV-FORMAT,interaction,3.61092726012482,3.3620396775519708,3.854342456966707,5,745,True,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 7.9426041666666665, ""llama31_8b"": 2.3430631510416666, ""mistral_7b"": 3.989895833333333, ""olmo2_7b"": 2.7087606495824352, ""qwen3_4b"": 1.0703125}"
all,all positions,GOV-FORMAT,late_given_pt,0.7554138099407328,0.5935421844131645,0.9118184274256914,5,745,True,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 0.40541666666666665, ""llama31_8b"": 1.1562565104166667, ""mistral_7b"": 0.5991666666666666, ""olmo2_7b"": 1.0221667059536639, ""qwen3_4b"": 0.5940625}"
all,all positions,GOV-FORMAT,late_given_it,4.366341070065554,4.106697416248541,4.64233968239269,5,745,True,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 145, ""qwen3_4b"": 150}","{""gemma3_4b"": 8.348020833333333, ""llama31_8b"": 3.4993196614583333, ""mistral_7b"": 4.5890625, ""olmo2_7b"": 3.730927355536099, ""qwen3_4b"": 1.664375}"
all,all positions,SAFETY,interaction,2.8332766414218478,2.6596451678805884,3.0146086165428163,5,744,True,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 144, ""qwen3_4b"": 150}","{""gemma3_4b"": 4.720208333333333, ""llama31_8b"": 1.8277083333333333, ""mistral_7b"": 3.365625, ""olmo2_7b"": 2.8032582071092396, ""qwen3_4b"": 1.4495833333333332}"
all,all positions,SAFETY,late_given_pt,0.24946293809678824,0.10947224290635847,0.39102827055189326,5,744,True,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 144, ""qwen3_4b"": 150}","{""gemma3_4b"": 0.16395833333333334, ""llama31_8b"": 0.23895833333333333, ""mistral_7b"": 0.66625, ""olmo2_7b"": 0.043564690483940974, ""qwen3_4b"": 0.13458333333333333}"
all,all positions,SAFETY,late_given_it,3.082739579518636,2.894195479244656,3.2724727888425194,5,744,True,"{""gemma3_4b"": 150, ""llama31_8b"": 150, ""mistral_7b"": 150, ""olmo2_7b"": 144, ""qwen3_4b"": 150}","{""gemma3_4b"": 4.884166666666666, ""llama31_8b"": 2.066666666666667, ""mistral_7b"": 4.031875, ""olmo2_7b"": 2.84682289759318, ""qwen3_4b"": 1.5841666666666667}"
