position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_records,n_prompt_clusters,reportable
all,all positions,ALL,interaction,1.4462016821760917,1.3241449311023623,1.5699137661059412,1397,1397,True
all,all positions,ALL,late_given_pt,0.9766240157480315,0.8796069702934861,1.0776899158911954,1397,1397,True
all,all positions,ALL,late_given_it,2.422825697924123,2.2627935978883325,2.581704098067287,1397,1397,True
all,all positions,BASELINE-EASY,interaction,2.254375,1.9099843749999998,2.6181562499999997,100,100,True
all,all positions,BASELINE-EASY,late_given_pt,0.185625,0.0175,0.37,100,100,True
all,all positions,BASELINE-EASY,late_given_it,2.44,2.088734375,2.8243906249999995,100,100,True
all,all positions,CONTENT-FACT,interaction,2.186875,1.8772864583333333,2.5156354166666666,300,300,True
all,all positions,CONTENT-FACT,late_given_pt,0.7260416666666667,0.464375,0.9952239583333331,300,300,True
all,all positions,CONTENT-FACT,late_given_it,2.912916666666667,2.4137343749999998,3.4223229166666664,300,300,True
all,all positions,CONTENT-REASON,interaction,0.9029522613065326,0.6523084170854271,1.1969299623115577,199,199,True
all,all positions,CONTENT-REASON,late_given_pt,1.5700376884422111,1.3027638190954773,1.8596105527638191,199,199,True
all,all positions,CONTENT-REASON,late_given_it,2.4729899497487438,2.14695351758794,2.8291614321608036,199,199,True
all,all positions,GOV-CONV,interaction,1.1097916666666667,0.9810260416666667,1.245421875,300,300,True
all,all positions,GOV-CONV,late_given_pt,0.4525,0.34936979166666665,0.554796875,300,300,True
all,all positions,GOV-CONV,late_given_it,1.5622916666666666,1.4154010416666667,1.7170885416666666,300,300,True
all,all positions,GOV-FORMAT,interaction,1.7768574297188755,1.4264275853413655,2.168935115461847,249,249,True
all,all positions,GOV-FORMAT,late_given_pt,1.6271335341365463,1.344230045180723,1.9242156124497989,249,249,True
all,all positions,GOV-FORMAT,late_given_it,3.4039909638554215,2.987321159638554,3.8354198042168663,249,249,True
all,all positions,GOV-REGISTER,interaction,0.1425,0.07125,0.21375,100,100,True
all,all positions,GOV-REGISTER,late_given_pt,0.56625,0.42621875000000004,0.71625,100,100,True
all,all positions,GOV-REGISTER,late_given_it,0.70875,0.57125,0.8525,100,100,True
all,all positions,SAFETY,interaction,1.1377936241610738,0.8024223993288591,1.5132445469798652,149,149,True
all,all positions,SAFETY,late_given_pt,1.4630872483221478,1.1963087248322148,1.7365981543624158,149,149,True
all,all positions,SAFETY,late_given_it,2.6008808724832213,2.169022651006711,3.0640520134228177,149,149,True
step_0,position 0,ALL,interaction,1.7873616236162362,1.6041253459409595,1.9886704335793353,542,542,True
step_0,position 0,ALL,late_given_pt,1.1887107933579335,1.0230007495387452,1.3587450991697416,542,542,True
step_0,position 0,ALL,late_given_it,2.9760724169741697,2.756215405904059,3.209821840405904,542,542,True
step_0,position 0,BASELINE-EASY,interaction,2.375,1.929054054054054,2.910472972972973,37,37,True
step_0,position 0,BASELINE-EASY,late_given_pt,0.07432432432432433,-0.11317567567567567,0.25506756756756754,37,37,True
step_0,position 0,BASELINE-EASY,late_given_it,2.449324324324324,1.9661317567567569,2.9864864864864864,37,37,True
step_0,position 0,CONTENT-FACT,interaction,2.9815140845070425,2.482394366197183,3.5044454225352104,71,71,True
step_0,position 0,CONTENT-FACT,late_given_pt,-0.41901408450704225,-0.7993397887323944,-0.01932218309859219,71,71,True
step_0,position 0,CONTENT-FACT,late_given_it,2.5625,2.028169014084507,3.1303036971830984,71,71,True
step_0,position 0,CONTENT-REASON,interaction,0.44801980198019803,0.3465346534653465,0.5482673267326733,101,101,True
step_0,position 0,CONTENT-REASON,late_given_pt,1.808168316831683,1.5816831683168318,2.037128712871287,101,101,True
step_0,position 0,CONTENT-REASON,late_given_it,2.256188118811881,2.0284653465346536,2.483910891089109,101,101,True
step_0,position 0,GOV-CONV,interaction,1.360091743119266,1.162270642201835,1.5607798165137614,109,109,True
step_0,position 0,GOV-CONV,late_given_pt,0.680045871559633,0.49655963302752293,0.8572391055045869,109,109,True
step_0,position 0,GOV-CONV,late_given_it,2.040137614678899,1.8130447247706423,2.286711582568807,109,109,True
step_0,position 0,GOV-FORMAT,interaction,2.4034482758620688,1.902543103448276,2.9806088362068963,145,145,True
step_0,position 0,GOV-FORMAT,late_given_pt,1.9816810344827587,1.5793049568965518,2.3976293103448274,145,145,True
step_0,position 0,GOV-FORMAT,late_given_it,4.385129310344827,3.809865301724138,5.009272629310345,145,145,True
step_0,position 0,GOV-REGISTER,interaction,-0.041666666666666664,,,3,3,False
