level,model,pipeline,side,host_variant,donor_variant,baseline_pipeline,window_name,start_layer,end_layer_exclusive,width,center,region,metric,estimate,ci95_low,ci95_high,n_pairs,n_prompt_clusters,n_models,models
model,gemma3_4b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,24,31,7,27.0,final_20pct,kl_to_own_final,0.012497471172562467,0.008581762350400902,0.016913189979771513,72517,600,,
model,gemma3_4b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,24,31,7,27.0,graft_window,kl_to_own_final,0.02681523886634035,0.020312710349131288,0.03348879249590137,72517,600,,
model,gemma3_4b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,20,27,7,23.0,final_20pct,kl_to_own_final,-0.01642940237538696,-0.020954836998045328,-0.011912648327959388,72517,600,,
model,gemma3_4b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,20,27,7,23.0,graft_window,kl_to_own_final,0.06175126032360552,0.052227265351779066,0.07146315411784726,72517,600,,
model,gemma3_4b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,20,34,14,26.5,final_20pct,kl_to_own_final,0.09444252238445394,0.06888420199619778,0.12003896907152442,72517,600,,
model,gemma3_4b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,20,34,14,26.5,graft_window,kl_to_own_final,0.7125782083242471,0.6691174691658472,0.7606531161853932,72517,600,,
model,gemma3_4b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,27,34,7,30.0,final_20pct,kl_to_own_final,0.07938582103634283,0.06040554324133698,0.09971351571452114,72517,600,,
model,gemma3_4b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,27,34,7,30.0,graft_window,kl_to_own_final,0.07938582103634283,0.060452734773648785,0.10051032254712672,72517,600,,
model,gemma3_4b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,13,20,7,16.0,final_20pct,kl_to_own_final,0.00889645840541606,0.0036848667154404545,0.014146430898318034,72517,600,,
model,gemma3_4b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,13,20,7,16.0,graft_window,kl_to_own_final,-0.14213600915943586,-0.17120640073633991,-0.11257987847808008,72517,600,,
model,gemma3_4b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,30,34,4,31.5,final_20pct,kl_to_own_final,0.04820904823090503,0.031199471951122434,0.06727730957205169,72517,600,,
model,gemma3_4b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,30,34,4,31.5,graft_window,kl_to_own_final,-0.027005409437137792,-0.03712984262984959,-0.016183642796630853,72517,600,,
model,gemma3_4b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,24,31,7,27.0,final_20pct,kl_to_own_final,-0.5673172228730764,-0.6085246318035423,-0.525211103378239,72517,600,,
model,gemma3_4b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,24,31,7,27.0,graft_window,kl_to_own_final,-1.1385024912686423,-1.2091012107086445,-1.0700639054617958,72517,600,,
model,gemma3_4b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,20,27,7,23.0,final_20pct,kl_to_own_final,-0.5951877270920104,-0.6390397789402466,-0.551447795411208,72517,600,,
model,gemma3_4b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,20,27,7,23.0,graft_window,kl_to_own_final,-3.159932344823931,-3.311836783280523,-3.0131593509692243,72517,600,,
model,gemma3_4b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,20,34,14,26.5,final_20pct,kl_to_own_final,-0.803629915371921,-0.8715768215775747,-0.7379765041640755,72517,600,,
model,gemma3_4b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,20,34,14,26.5,graft_window,kl_to_own_final,-3.0183099433497027,-3.160338970272476,-2.8814984689052228,72517,600,,
model,gemma3_4b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,27,34,7,30.0,final_20pct,kl_to_own_final,-0.7324059087581399,-0.7925763376210807,-0.6734533703341635,72517,600,,
model,gemma3_4b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,27,34,7,30.0,graft_window,kl_to_own_final,-0.7324059087581399,-0.7933906246460586,-0.674642297268336,72517,600,,
model,gemma3_4b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,13,20,7,16.0,final_20pct,kl_to_own_final,-0.5699482099446044,-0.6143191641209946,-0.5275100101705736,72517,600,,
model,gemma3_4b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,13,20,7,16.0,graft_window,kl_to_own_final,-9.349010885703699,-9.770426594530365,-8.934736103938741,72517,600,,
